                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20231025"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1012                  1.1475506210984938E+002                  2.0597718523607966E+000                  1.4999985973195141E+001                  3.4474596763298564E+001                 -6.9128130971758841E+000                  2.7376768106825371E+000                  1.8092314318171882E-001                  7.8142548023781736E-008                  4.2367750099032903E-001                  3.0264703540027837E-001                  1.0000000000000000E+000                  7.8142548023781736E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.8251195804947715E-001                                        2                  2.2374468185277141E-001                                        0                  2.4989198804236809E-001                                        3                  3.0264703540027837E-001                                        1                  4.2524348439955395E-001                                        0                  9.9873030604614721E-001                                        4                  9.9896705625832172E-001                                        0                  9.9916939355033851E-001                                        4                  9.9932447916472222E-001                                        7                  1.0000000000000000E+000                  4.4175663875360875E+000                 -3.0366338472841722E+001                 -9.8999999999999986E+001                  4.4175663875360875E+000                  4.4148283100045793E+000                  2.2158594982174087E+000                 -3.0366338472841722E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3188260094572146E+033                  6.8548455565595238E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  5.8454650602324304E-003                                        5                  7.0884686399160596E-002                                        4                  1.4327812502450843E-001                                        3                  2.1019053390951234E-001                                        2                  2.5488821234949921E-001                                        1                  2.9390541043236140E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561664588606273E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2973109714575379E+000                  4.5768660541891428E+000                  1.2164642450439926E+000                  3.1812299901530423E+000                  0.0000000000000000E+000                  1.5986588806062803E+001                  5.8106669352115548E-001                  7.4914469317334467E+000                  1.3330341195689566E+000                  5.0158493748447308E-001                  4.0227946341990899E+000                  3.1422580377906892E-003                  9.7677482802764037E-001                  3.4465042927435160E-003                  9.3805273499082235E-003                  3.4468833607860815E-003                  9.3805276451495480E-003                  7.4872693787024893E+000                  7.2120199146654231E+000                  7.3779076953519622E+000                  1.1129320192398122E+007                  9.2623194359268069E+001                                        0                                        4 
                                       2                                     1016                  2.0655911179772889E+002                  1.9628618393527404E+000                  1.4999974684066116E+001                  3.4474596436444372E+001                 -6.9102014026690641E+000                  2.4245419532004115E+000                  1.6131962969385338E-001                  7.8142607608999488E-008                  4.2072417482014829E-001                  3.0293435547048592E-001                  1.0000000000000000E+000                  7.8142607608999488E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.6163640301179355E-001                                        2                  2.0559982174876545E-001                                        0                  2.2425556777047448E-001                                        3                  3.0293435547048592E-001                                        1                  4.2244695945185801E-001                                        3                  4.2767210549755774E-001                                        0                  9.9930657970396564E-001                                        4                  9.9941123647327412E-001                                        0                  9.9993089411461511E-001                                        4                  1.0000000000000000E+000                  4.3186889074870312E+000                 -3.0221728304338480E+001                 -1.0962018580511621E+001                  4.3186889074870320E+000                  4.3149082255539950E+000                  2.2565857684700226E+000                 -3.0221728304338480E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0772045449773265E+033                  6.8792711580385047E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  2.1187292482398759E-003                                        5                  6.3466424269652794E-002                                        4                  1.3590150423002248E-001                                        3                  2.0258189780656774E-001                                        2                  2.0522724455098112E-001                                        3                  2.1152981654362757E-001                                        2                  2.5616259651679374E-001                                        1                  2.9532281779622255E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561667741146244E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2977902532328152E+000                  4.5782734155032232E+000                  1.2162093621504779E+000                  3.1817394290858800E+000                  0.0000000000000000E+000                  1.5997408524410726E+001                  5.9005889810449663E-001                  7.4937638452605375E+000                  1.3330318872252584E+000                  5.0158450571009827E-001                  4.0227673171453553E+000                  3.1460960546160549E-003                  9.7678503435695863E-001                  3.4461419742501972E-003                  9.3805270632377410E-003                  3.4468833607860794E-003                  9.3805276451495410E-003                  7.4872718920729744E+000                  7.2120496977061990E+000                  7.3849794918908502E+000                  1.1137106799745323E+007                  9.2680752816940426E+001                                        0                                        3 
                                       3                                     1019                  2.8000235154803249E+002                  1.8659518263446839E+000                  1.4999965577094954E+001                  3.4474596172770028E+001                 -6.9065778650076375E+000                  2.3383248393363298E+000                  1.5482732056749501E-001                  7.8142653960635232E-008                  4.2072443025559564E-001                  3.0256488061393544E-001                  1.0000000000000000E+000                  7.8142653960635232E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.5588868036517145E-001                                        2                  1.9900800180882738E-001                                        4                  2.1054698021481399E-001                                        0                  2.4554380599411141E-001                                        3                  3.0256488061393544E-001                                        1                  4.2093235057941736E-001                                        3                  4.2769524257696806E-001                                        0                  9.9970188202734744E-001                                        4                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.2473594698014425E+000                 -3.0084043150412192E+001                 -9.8999999999999986E+001                  4.2473594698014425E+000                  4.2424850660831757E+000                  2.2950617325833051E+000                 -3.0084043150412192E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9246953909632558E+033                  6.9094347942398941E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  3.4681594289612619E-004                                        5                  5.8164987374959953E-002                                        4                  1.3048291819307753E-001                                        3                  1.9727587411081471E-001                                        2                  1.9844412580683690E-001                                        3                  2.1315810537359220E-001                                        2                  2.5727961349055567E-001                                        1                  2.9663756140636122E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561669317416003E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2982534706245454E+000                  4.5796919804445455E+000                  1.2159922098376783E+000                  3.1821734700371334E+000                  0.0000000000000000E+000                  1.6007748480007319E+001                  5.9867585063983864E-001                  7.4959669233282291E+000                  1.3330315596094946E+000                  5.0158394646619797E-001                  4.0227552835769540E+000                  3.1481697702984189E-003                  9.7679248275283614E-001                  3.4458147838454024E-003                  9.3805268004834037E-003                  3.4468833607860837E-003                  9.3805276451495497E-003                  7.4872719922703848E+000                  7.2120691465931737E+000                  7.3910831621774493E+000                  1.1146490109178999E+007                  9.2723963006878563E+001                                        0                                        3 
                                       4                                     1022                  3.6813423924839680E+002                  1.9451330723923088E+000                  1.4999954556977293E+001                  3.4474595853704088E+001                 -6.9029468408182124E+000                  2.2713300658931863E+000                  1.4997621773835160E-001                  7.8142712431936075E-008                  4.1627691593245575E-001                  3.0221607685411644E-001                  1.0000000000000000E+000                  7.8142712431936075E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.5142246313250779E-001                                        2                  1.9571464745103104E-001                                        4                  2.1219668068367134E-001                                        0                  2.4991071239658219E-001                                        3                  3.0221607685411644E-001                                        1                  4.1981056942257838E-001                                        3                  4.2804206934717925E-001                                        0                  9.9870361140335329E-001                                        4                  9.9967876187955773E-001                                        7                  1.0000000000000000E+000                  4.1747497721221931E+000                 -2.9896245623001374E+001                 -9.8999999999999986E+001                  4.1747497721221931E+000                  4.1682396058581013E+000                  2.3473065241011497E+000                 -2.9896245623001374E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7458223852639408E+033                  6.9538397362899121E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  5.2818472989258222E-002                                        4                  1.2479888244185160E-001                                        3                  1.9178343718741420E-001                                        2                  1.9571954681196735E-001                                        3                  2.1556776907795916E-001                                        2                  2.5880370671174252E-001                                        1                  2.9846502147022053E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561670105551054E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2988962544960163E+000                  4.5817174406688927E+000                  1.2157193722069108E+000                  3.1827188262327324E+000                  0.0000000000000000E+000                  1.6021862556670683E+001                  6.1044392370191614E-001                  7.4989699932407339E+000                  1.3330316604487240E+000                  5.0158330005884855E-001                  4.0227457413976468E+000                  3.1500329213733462E-003                  9.7680001265004213E-001                  3.4453654134429901E-003                  9.3805264322703846E-003                  3.4468833607860828E-003                  9.3805276451495462E-003                  7.4872701066377436E+000                  7.2120879351493858E+000                  7.3988355740652683E+000                  1.1162309173465317E+007                  9.2771792786514993E+001                                        0                                        3 
                                       5                                     1025                  4.7389250448883399E+002                  2.0243143184399335E+000                  1.4999941174640650E+001                  3.4474595466244416E+001                 -6.8977823677506453E+000                  2.1888124706407304E+000                  1.4513966834577563E-001                  7.8142778830192082E-008                  4.1627728731776498E-001                  3.0201036919080626E-001                  1.0000000000000000E+000                  7.8142778830192082E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.4592140363464906E-001                                        2                  1.9077820507327042E-001                                        4                  2.1219686999690518E-001                                        0                  2.5312349058376443E-001                                        3                  3.0201036919080626E-001                                        1                  4.1858190513590110E-001                                        3                  4.2790413679389466E-001                                        0                  9.9828389952854890E-001                                        4                  9.9848969451479053E-001                                        7                  1.0000000000000000E+000                  4.0997478279490522E+000                 -2.9647598818626228E+001                 -9.8999999999999986E+001                  4.0997478279490522E+000                  4.0906528211469428E+000                  2.4162269775863048E+000                 -2.9647598818626228E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5678800990551168E+033                  7.0139451824293290E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.7385514224380414E-002                                        4                  1.1883876613471994E-001                                        3                  1.8597529813730299E-001                                        2                  1.9077659424732327E-001                                        3                  2.1883599249838562E-001                                        2                  2.6082334132708984E-001                                        1                  3.0111434034911327E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561670499618104E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2997623771038400E+000                  4.5844958360649315E+000                  1.2153763246892810E+000                  3.1834045338083148E+000                  0.0000000000000000E+000                  1.6040521113419995E+001                  6.2598832222895229E-001                  7.5029429307127229E+000                  1.3330323384786533E+000                  5.0158253782058537E-001                  4.0227395811567552E+000                  3.1516105927003294E-003                  9.7680763325206732E-001                  3.4447159823225160E-003                  9.3805258857678469E-003                  3.4468833607860833E-003                  9.3805276451495497E-003                  7.4872656811231009E+000                  7.2121056807557036E+000                  7.4086629889047293E+000                  1.1190292024054248E+007                  9.2825777507478890E+001                                        0                                        3 
                                       6                                     1021                  6.0080242277735863E+002                  2.1034955644875581E+000                  1.4999924852364524E+001                  3.4474594993664006E+001                 -6.8907148439265189E+000                  2.0878485393948680E+000                  1.3872020905475815E-001                  7.8142867166030919E-008                  4.1627774029289183E-001                  3.0179276693207963E-001                  1.0000000000000000E+000                  7.8142867166030919E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.3919059994928895E-001                                        2                  1.8420564385985502E-001                                        4                  2.1219710090045901E-001                                        0                  2.5613439998369225E-001                                        3                  3.0179276693207963E-001                                        1                  4.1721647018576757E-001                                        3                  4.2654716403236925E-001                                        0                  9.9928954712934914E-001                                        4                  9.9957762407742501E-001                                        7                  1.0000000000000000E+000                  4.0215625511270359E+000                 -2.9325620060430683E+001                 -1.1439139835231284E+001                  4.0215625511270359E+000                  4.0081308041454422E+000                  2.5052121773505727E+000                 -2.9325620060430683E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3791727252316425E+033                  7.0846184995793490E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.1822848008008721E-002                                        4                  1.1251832909016360E-001                                        3                  1.7972017689902609E-001                                        2                  1.8398946792631204E-001                                        3                  2.2309920870433364E-001                                        2                  2.2373074677735841E-001                                        3                  2.2536591183518284E-001                                        2                  2.6349006385392887E-001                                        1                  3.0489551402238324E-001                                        0                  1.0000000000000000E+000                  3.3561670696652328E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3009066335903166E+000                  4.5881983818456638E+000                  1.2149390846066948E+000                  3.1842785413930801E+000                  0.0000000000000000E+000                  1.6064678641636643E+001                  6.4607686006191978E-001                  7.5080987179292586E+000                  1.3330338032144449E+000                  5.0158162562676722E-001                  4.0227381585801503E+000                  3.1527811341943270E-003                  9.7681528243750959E-001                  3.4437249722205055E-003                  9.3805250225996104E-003                  3.4468833607860785E-003                  9.3805276451495410E-003                  7.4872580157133104E+000                  7.2121218765667860E+000                  7.4212331512849428E+000                  1.1232012418513790E+007                  9.2890323402410104E+001                                        0                                        3 
                                       7                                     1021                  7.5309432472358822E+002                  2.1826768105351833E+000                  1.4999904836719974E+001                  3.4474594414148449E+001                 -6.8813072305254046E+000                  1.9685829658445988E+000                  1.3034905759520979E-001                  7.8142970875105747E-008                  4.1330302933960844E-001                  3.0156626759766381E-001                  1.0000000000000000E+000                  7.8142970875105747E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.3123969700297569E-001                                        2                  1.7600871633723780E-001                                        4                  2.1384693530568374E-001                                        0                  2.6015137631121199E-001                                        3                  3.0156626759766381E-001                                        1                  4.1540068917131751E-001                                        3                  4.2326809545526028E-001                                        0                  9.9887037049676841E-001                                        4                  9.9921293052161231E-001                                        7                  1.0000000000000000E+000                  3.9392751015538923E+000                 -2.8915827805350354E+001                 -9.8999999999999986E+001                  3.9392751015538918E+000                  3.9180252986342374E+000                  2.6182641170643128E+000                 -2.8915827805350354E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1779748788392349E+033                  7.1958584695573376E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.6129722623516165E-002                                        4                  1.0578048548581327E-001                                        3                  1.7291828005013585E-001                                        2                  1.7548418369444890E-001                                        3                  2.2877440459173576E-001                                        2                  2.6689843428354620E-001                                        1                  3.1003227546717932E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561670795169145E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3023955876982622E+000                  4.5930217480773630E+000                  1.2143728595066541E+000                  3.1854104120776059E+000                  0.0000000000000000E+000                  1.6095417393835369E+001                  6.7157335463100465E-001                  7.5146809763203306E+000                  1.3330363433617338E+000                  5.0158051815206195E-001                  4.0227433692881212E+000                  3.1533790541383761E-003                  9.7682285424473170E-001                  3.4421105849327645E-003                  9.3805235533954787E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  7.4872462397823227E+000                  7.2121358567642613E+000                  7.4375036059627666E+000                  1.1282667543806456E+007                  9.2973219168727994E+001                                        0                                        3 
                                       8                                     1037                  9.3584460705906361E+002                  2.2618580565828079E+000                  1.4999880130607037E+001                  3.4474593698828087E+001                 -6.8690536342865203E+000                  1.8251359340573066E+000                  1.2086913457303992E-001                  7.8143100578011292E-008                  4.1330371008580341E-001                  3.0132738612517601E-001                  1.0000000000000000E+000                  7.8143100578011292E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.2167670129130853E-001                                        2                  1.6620599573205019E-001                                        0                  1.7191925294947422E-001                                        4                  2.1384728753026816E-001                                        0                  2.6440460007586192E-001                                        3                  3.0132738612517601E-001                                        1                  4.1344495926646113E-001                                        3                  4.1870042088937415E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.8522018258877706E+000                 -2.8402276770941175E+001                 -9.8999999999999986E+001                  3.8522018258877702E+000                  3.8155862727514029E+000                  2.7599039576723285E+000                 -2.8402276770941175E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9761423860983204E+033                  7.3206962373796434E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.0288334316072901E-002                                        4                  9.8557758968761233E-002                                        3                  2.3313383517817557E-001                                        2                  2.7129015064507528E-001                                        1                  3.1651000982829675E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3561670844427702E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3043131896752174E+000                  4.5991889924984379E+000                  1.2136212777632822E+000                  3.1869128602439885E+000                  0.0000000000000000E+000                  1.6134008785003175E+001                  7.0348835406446064E-001                  7.5229768423362371E+000                  1.3330403532652326E+000                  5.0157915661064301E-001                  4.0227578530935046E+000                  3.1531871605918458E-003                  9.7683016646540666E-001                  3.4392690908344741E-003                  9.3805208205735065E-003                  3.4468833607860772E-003                  9.3805276451495376E-003                  7.4872292968231688E+000                  7.2121467565413608E+000                  7.4589925312719751E+000                  1.1344649302421356E+007                  9.3089675350563567E+001                                        0                                        4 
                                       9                                     1041                  1.1551449458616339E+003                  2.3410393026304326E+000                  1.4999849393140394E+001                  3.4474592808879258E+001                 -6.8533712321866389E+000                  1.6562087559176455E+000                  1.0994721906966821E-001                  7.8143260549690638E-008                  4.0583017411693634E-001                  3.0110605962354831E-001                  1.0000000000000000E+000                  7.8143260549690638E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.1041502567852775E-001                                        2                  1.5159200370677606E-001                                        0                  1.7928566819641006E-001                                        4                  2.1549750983606486E-001                                        0                  2.6910918616767454E-001                                        3                  3.0110605962354831E-001                                        1                  4.0905688829699510E-001                                        3                  4.1145591876017612E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.7586084298597311E+000                 -2.7767496809956949E+001                 -1.1439139835231284E+001                  3.7586084298597315E+000                  3.6879357875781236E+000                  2.9352182098633492E+000                 -2.7767496809956949E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7233244745002850E+033                  7.4852916381496769E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.4188642504616685E-002                                        4                  9.0558113289226652E-002                                        3                  2.3857249877059972E-001                                        2                  2.7690577364149416E-001                                        1                  3.2455167355523618E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.3562637486541864E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3067653002306709E+000                  4.6069400502068056E+000                  1.2125925855065562E+000                  3.1889693548086062E+000                  0.0000000000000000E+000                  1.6181943729539530E+001                  7.4300043276423677E-001                  7.5333247412888102E+000                  1.3330465052431757E+000                  5.0157743467963811E-001                  4.0227860119827037E+000                  3.1518945301233668E-003                  9.7683698166587118E-001                  3.4336780208786230E-003                  9.3805150576515527E-003                  3.4468833607860750E-003                  9.3805276451495341E-003                  7.4872059062833509E+000                  7.2121533241762750E+000                  7.4881355030280332E+000                  1.1404347061324168E+007                  9.3267847728831399E+001                                        0                                        4 
