                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20231025"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1080                  9.7656250000000014E+001                  1.9897000433601879E+000                  1.5999983596807605E+001                  3.4502625447777866E+001                 -6.7747716645523868E+000                  3.3546401549362992E+000                  2.0905797042362320E-001                  7.8129379708490315E-008                  4.2752507925446553E-001                  3.0121449716714427E-001                  1.0000000000000000E+000                  7.8129379708490315E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  2.0966522463220735E-001                                        2                  2.4852124157251451E-001                                        0                  3.0049918633940642E-001                                        3                  3.0121449716714427E-001                                        1                  4.3086996951377970E-001                                        0                  9.9945208255167850E-001                                        4                  9.9954058699336068E-001                                        0                  9.9998864580374858E-001                                        1                  9.9999890794860213E-001                                        7                  1.0000000000000000E+000                  4.5441072989373703E+000                 -2.9937441854034624E+001                 -1.0837079843903322E+001                  4.5441072989373712E+000                  4.5441016778653394E+000                 -3.4386067232671563E-001                 -2.9937441854034624E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8676255167819026E+033                  7.4623656189625856E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.0341305129663718E-002                                        5                  7.8970801386287259E-002                                        4                  1.5219438095945240E-001                                        3                  2.1614301313953094E-001                                        2                  2.8130771755014999E-001                                        1                  3.0056727322549920E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495984E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2528171624158153E+000                  4.6775417030698616E+000                  1.3557896875677962E+000                  2.9306077895847404E+000                  0.0000000000000000E+000                  1.5987902971883155E+001                  5.6765810895549584E-001                  7.4989470336824393E+000                  1.3400385610059620E+000                  5.0001654005364482E-001                  4.0612329637737599E+000                  5.0918835806931106E-006                  9.7991094334656703E-001                  3.4468827680751279E-003                  9.3805276446641325E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  7.8353435376474021E+000                  7.8438863627068427E+000                  4.7946615640520340E+000                  1.3114304122036086E+007                  5.4744999820268930E+001                                        0                                        4 
                                       2                                     1075                  1.7578125000000003E+002                  1.8927900303521317E+000                  1.5999970415969448E+001                  3.4502625090004528E+001                 -6.7728470028351087E+000                  3.2115665600267640E+000                  1.9919627843492363E-001                  7.8129442261795384E-008                  4.2752543145129779E-001                  3.0149518914369350E-001                  1.0000000000000000E+000                  7.8129442261795384E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  2.0072328113940285E-001                                        2                  2.4031010995529115E-001                                        4                  2.5344214878833815E-001                                        0                  3.0048820194672488E-001                                        3                  3.0149518914369350E-001                                        1                  4.2807390608845808E-001                                        0                  9.9810386436492082E-001                                        4                  9.9875313737373372E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4546291024287727E+000                 -2.9794726756027124E+001                 -9.8999999999999986E+001                  4.4546291024287727E+000                  4.4546179096234129E+000                 -1.3422185372505016E-001                 -2.9794726756027124E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6559346213223413E+033                  7.2837666321065189E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  6.0750884480348499E-003                                        5                  7.2100837373276314E-002                                        4                  1.4554434152474799E-001                                        3                  2.1030439822455885E-001                                        2                  2.8303796779828072E-001                                        1                  3.0057425741032323E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495922E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2531684685047066E+000                  4.6785629019391655E+000                  1.3555976748246663E+000                  2.9309914572976563E+000                  0.0000000000000000E+000                  1.5998218218139026E+001                  5.7607854184267426E-001                  7.5012382578238253E+000                  1.3400374620710942E+000                  5.0001590133817275E-001                  4.0612123353798530E+000                  8.2320636984850227E-006                  9.7992105585498834E-001                  3.4468818996435725E-003                  9.3805276439420278E-003                  3.4468833607860807E-003                  9.3805276451495376E-003                  7.8353463919382316E+000                  7.8439215720774387E+000                  4.7982069032521899E+000                  1.3131333650441172E+007                  5.4771227394196146E+001                                        0                                        4 
                                       3                                     1063                  2.3828125000000006E+002                  1.7958800173440752E+000                  1.5999959807169972E+001                  3.4502624802044956E+001                 -6.7702137767603254E+000                  3.0804614001417812E+000                  1.9099074144900302E-001                  7.8129495283704454E-008                  4.2311047262835594E-001                  3.0159696742267550E-001                  1.0000000000000000E+000                  7.8129495283704454E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.9252932115250385E-001                                        2                  2.3373480655273532E-001                                        4                  2.5753929332624392E-001                                        0                  3.0048691433063535E-001                                        3                  3.0159696742267550E-001                                        1                  4.2609920966825576E-001                                        3                  4.2933158370098645E-001                                        0                  9.9710223301276235E-001                                        4                  9.9733109570557033E-001                                        7                  1.0000000000000000E+000                  4.3903828923015720E+000                 -2.9657056647753468E+001                 -1.0837079843903322E+001                  4.3903828923015720E+000                  4.3903657269776426E+000                 -1.2757998163732940E-002                 -2.9657056647753468E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5006399320087053E+033                  7.1439591031391272E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  3.4672804249814815E-003                                        5                  6.7197956364514297E-002                                        4                  1.4066683510075059E-001                                        3                  2.0597211628080203E-001                                        2                  2.8467807318845084E-001                                        1                  3.0118746956581643E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495940E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2535084040821944E+000                  4.6796169841560129E+000                  1.3554448447781140E+000                  2.9312968294311914E+000                  0.0000000000000000E+000                  1.6008160248082181E+001                  5.8418647716336880E-001                  7.5034493940766440E+000                  1.3400369555748626E+000                  5.0001540459114435E-001                  4.0611994901983692E+000                  1.0286507246076816E-005                  9.7992814506193038E-001                  3.4468809250897490E-003                  9.3805276431197081E-003                  3.4468833607860807E-003                  9.3805276451495358E-003                  7.8353466554107571E+000                  7.8439451305006243E+000                  4.8011194861400570E+000                  1.3139095212482115E+007                  5.4788306631232643E+001                                        0                                        4 
                                       4                                     1059                  2.8828125000000006E+002                  1.6989700043360187E+000                  1.5999951267327377E+001                  3.4502624570243903E+001                 -6.7675201384153150E+000                  2.9767489082773908E+000                  1.8443759521247302E-001                  7.8129537094729716E-008                  4.2311069846009580E-001                  3.0167637543046344E-001                  1.0000000000000000E+000                  7.8129537094729716E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.8604737342894578E-001                                        2                  2.2715559584361139E-001                                        4                  2.5753943078572655E-001                                        0                  3.0048572611592428E-001                                        3                  3.0167637543046344E-001                                        1                  4.2568030751585828E-001                                        3                  4.2929563873894794E-001                                        0                  9.9945244772666031E-001                                        4                  9.9954089311288308E-001                                        7                  1.0000000000000000E+000                  4.3420718534665417E+000                 -2.9534602156304643E+001                 -1.1138109839567303E+001                  4.3420718534665426E+000                  4.3420486390303425E+000                  7.0034075576655003E-002                 -2.9534602156304643E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3829711855155650E+033                  7.0498995001592563E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.8493767918631480E-003                                        5                  6.3520788197142644E-002                                        4                  1.3697056675590089E-001                                        3                  2.0263837522570294E-001                                        2                  2.8612486252976455E-001                                        1                  3.0222091593781758E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495896E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2538115109679326E+000                  4.6805942445140598E+000                  1.3553272611856613E+000                  2.9315317648150452E+000                  0.0000000000000000E+000                  1.6017001150978974E+001                  5.9139149010045455E-001                  7.5054172946109867E+000                  1.3400367527040531E+000                  5.0001501156535377E-001                  4.0611911445557922E+000                  1.1691618662090541E-005                  9.7993331327529654E-001                  3.4468799391976228E-003                  9.3805276422769049E-003                  3.4468833607860733E-003                  9.3805276451495289E-003                  7.8353457904469748E+000                  7.8439615393851136E+000                  4.8034223927174349E+000                  1.3142716996067714E+007                  5.4798826668021199E+001                                        0                                        5 
                                       5                                     1056                  3.3193889784391604E+002                  1.6400603333903911E+000                  1.5999943767960932E+001                  3.4502624366684898E+001                 -6.7650357582746832E+000                  2.8970762887544690E+000                  1.7953067116081162E-001                  7.8129569428903177E-008                  4.2311089677717767E-001                  3.0049985819505343E-001                  1.0000000000000000E+000                  7.8129569428903177E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.8106790441074647E-001                                        2                  2.2221982771208337E-001                                        4                  2.5753955149755753E-001                                        0                  3.0048508136073282E-001                                        1                  4.2545838169341244E-001                                        3                  4.2908596432659085E-001                                        0                  9.9862659590281999E-001                                        4                  9.9881419246636116E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.3021402604386294E+000                 -2.9419504636749455E+001                 -9.8999999999999986E+001                  4.3021402604386294E+000                  4.3021106697551641E+000                  1.3549615020096747E-001                 -2.9419504636749455E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2846071683564364E+033                  6.9637747435797486E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  7.9847308808892825E-004                                        5                  6.0507337728152241E-002                                        4                  1.3388119969599302E-001                                        3                  1.9982706214783832E-001                                        2                  2.8742219423056486E-001                                        1                  3.0325769647970524E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495514E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2540954771111270E+000                  4.6815358675623111E+000                  1.3552301404233988E+000                  2.9317258027805608E+000                  0.0000000000000000E+000                  1.6025307643376532E+001                  5.9815509455896732E-001                  7.5072683626407297E+000                  1.3400367132961533E+000                  5.0001467151965351E-001                  4.0611851741410225E+000                  1.2755733248847720E-005                  9.7993748160658944E-001                  3.4468789060351055E-003                  9.3805276413828111E-003                  3.4468833607860746E-003                  9.3805276451495306E-003                  7.8353443303178221E+000                  7.8439742763827640E+000                  4.8053762605375381E+000                  1.3146830705930829E+007                  5.4805395294124217E+001                                        0                                        5 
                                       6                                     1057                  3.8432807525661525E+002                  1.7192415794380160E+000                  1.5999934719162285E+001                  3.4502624121068756E+001                 -6.7626506549993186E+000                  2.8306110602351473E+000                  1.7626433510441461E-001                  7.8129615889208046E-008                  4.2311113606848577E-001                  3.0049480034400033E-001                  1.0000000000000000E+000                  7.8129615889208046E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.7691391308272481E-001                                        2                  2.1892913426798752E-001                                        4                  2.5753969714962355E-001                                        0                  3.0048395573480352E-001                                        1                  4.2588301107504362E-001                                        3                  4.2966186708978477E-001                                        0                  9.9933571492276219E-001                                        4                  9.9954104980779457E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.2584907664695200E+000                 -2.9272100140974352E+001                 -1.1439139835231284E+001                  4.2584907664695200E+000                  4.2584521564978557E+000                  2.0738663322472972E-001                 -2.9272100140974352E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1760181687547007E+033                  6.8679394024503208E+033                  7.0167229871686605E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.0223066679864277E+033                                        6                  5.5941684290476637E-005                                        5                  5.7229205077742616E-002                                        4                  1.3047057394047432E-001                                        3                  1.9669087556571607E-001                                        2                  2.8906308357532040E-001                                        1                  3.0458241673743319E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495549E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2544617553344857E+000                  4.6827787694525540E+000                  1.3551190349218023E+000                  2.9319477681676136E+000                  0.0000000000000000E+000                  1.6035945535354383E+001                  6.0681009963661037E-001                  7.5096414087546934E+000                  1.3400368383668728E+000                  5.0001427049697800E-001                  4.0611797087471677E+000                  1.3819625511296135E-005                  9.7994201527799329E-001                  3.4468774100076304E-003                  9.3805276400677363E-003                  3.4468833607860802E-003                  9.3805276451495324E-003                  7.8353417351325811E+000                  7.8439876641507951E+000                  4.8076711206488971E+000                  1.3153030527820023E+007                  5.4810295159489009E+001                                        0                                        5 
                                       7                                     1057                  4.4719508815185429E+002                  1.7984228254856407E+000                  1.5999923781834442E+001                  3.4502623824191119E+001                 -6.7595115952428753E+000                  2.7542778758263857E+000                  1.7137320803282910E-001                  7.8129669874459863E-008                  4.2311142530143997E-001                  3.0049503213476902E-001                  1.0000000000000000E+000                  7.8129669874459863E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.7214318726652078E-001                                        2                  2.1399347397708460E-001                                        4                  2.5835903145342559E-001                                        0                  3.0048329070591001E-001                                        3                  3.0049503213476902E-001                                        1                  4.2582751312957412E-001                                        3                  4.2963663271684710E-001                                        0                  9.9998882591196203E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.2101756957708361E+000                 -2.9084591150560055E+001                 -9.8999999999999986E+001                  4.2101756957708361E+000                  4.2101238409811543E+000                  2.8715433447526389E-001                 -2.9084591150560055E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0544968845383064E+033                  6.7590210395165341E+033                  6.8260793790044833E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0358742360842042E+033                                        5                  5.3629458424371758E-002                                        4                  1.2665359749666413E-001                                        3                  1.9315433968077428E-001                                        2                  2.9118430560451625E-001                                        1                  3.0626275117595442E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495665E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2549332161794027E+000                  4.6844105805282350E+000                  1.3549920187698092E+000                  2.9322015035939661E+000                  0.0000000000000000E+000                  1.6049483641601920E+001                  6.1781495555766830E-001                  7.5126647446526231E+000                  1.3400372032514081E+000                  5.0001379332583085E-001                  4.0611751900823823E+000                  1.4844926016624829E-005                  9.7994692853520238E-001                  3.4468751844034785E-003                  9.3805276380720011E-003                  3.4468833607860824E-003                  9.3805276451495462E-003                  7.8353376010681961E+000                  7.8440014582067166E+000                  4.8103686134342345E+000                  1.3162301170059031E+007                  5.4812567534745504E+001                                        0                                        5 
                                       8                                     1051                  5.2263550362614114E+002                  1.8776040715332656E+000                  1.5999910532207831E+001                  3.4502623464549274E+001                 -6.7554004321424079E+000                  2.6688995986381086E+000                  1.6649142104579834E-001                  7.8129732714233937E-008                  4.2311177568267150E-001                  3.0049296462795755E-001                  1.0000000000000000E+000                  7.8129732714233937E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.6680715765663884E-001                                        2                  2.0905892510001442E-001                                        4                  2.5835924540216432E-001                                        0                  3.0048282443137470E-001                                        1                  4.2517331500322597E-001                                        3                  4.2870822606069625E-001                                        0                  9.9826825767938321E-001                                        4                  9.9849125095186364E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.1568936299962829E+000                 -2.8847381619770456E+001                 -9.8999999999999986E+001                  4.1568936299962829E+000                  4.1568216519641012E+000                  3.7627329941388082E-001                 -2.8847381619770456E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9196087217865547E+033                  6.6362549133329605E+033                  6.6552816804954966E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.1895564811135845E+033                                        5                  4.9721690200675399E-002                                        4                  1.2241817051829774E-001                                        3                  1.8916693693456749E-001                                        2                  2.9386861745786397E-001                                        1                  3.0839494228979164E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495443E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2555370275629114E+000                  4.6865356714251023E+000                  1.3548469414512250E+000                  2.9324912985892899E+000                  0.0000000000000000E+000                  1.6066624043344778E+001                  6.3173106427421666E-001                  7.5164984736127822E+000                  1.3400379018769937E+000                  5.0001322677730720E-001                  4.0611722626515734E+000                  1.5766743672743291E-005                  9.7995217089911024E-001                  3.4468718067878815E-003                  9.3805276349660776E-003                  3.4468833607860833E-003                  9.3805276451495497E-003                  7.8353314257210664E+000                  7.8440153320405619E+000                  4.8135398297744585E+000                  1.3176268993298037E+007                  5.4811039057783020E+001                                        0                                        5 
                                       9                                     1052                  6.1316400219528532E+002                  1.9567853175808902E+000                  1.5999894435839700E+001                  3.4502623027636375E+001                 -6.7500574215195472E+000                  2.5739098541980781E+000                  1.6000163914214027E-001                  7.8129812182430229E-008                  4.2311220134566258E-001                  3.0049234365682304E-001                  1.0000000000000000E+000                  7.8129812182430229E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.6087042727185313E-001                                        2                  2.0412679640751444E-001                                        4                  2.5835950531922636E-001                                        0                  3.0048240223021438E-001                                        1                  4.2424436684021044E-001                                        0                  9.9838286571038637E-001                                        4                  9.9842000443481371E-001                                        0                  9.9966749865758175E-001                                        4                  9.9971724822284469E-001                                        7                  1.0000000000000000E+000                  4.0979063999217828E+000                 -2.8549420824228630E+001                 -1.1740169830895265E+001                  4.0979063999217828E+000                  4.0978025427034472E+000                  4.7650684751463063E-001                 -2.8549420824228630E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7691886872490492E+033                  8.3101943188329997E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.5422814751953700E-002                                        4                  1.1769462018438057E-001                                        3                  1.8466119042966922E-001                                        2                  2.9722888010312659E-001                                        1                  3.1107301408590265E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8021529813495754E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2563077440618491E+000                  4.6892811783528687E+000                  1.3546782619172335E+000                  2.9328282207443688E+000                  0.0000000000000000E+000                  1.6088190000722779E+001                  6.4921461160756189E-001                  7.5213309786623075E+000                  1.3400390447348565E+000                  5.0001255640653741E-001                  4.0611717030326782E+000                  1.6505413014527620E-005                  9.7995766958706221E-001                  3.4468665509547157E-003                  9.3805276299779253E-003                  3.4468833607860824E-003                  9.3805276451495480E-003                  7.8353225932616821E+000                  7.8440288535438825E+000                  4.8173207879954454E+000                  1.3198068300912572E+007                  5.4804926420544632E+001                                        0                                        5 
