                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230707"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1064                  3.1622776601683819E+002                  2.5000000000000000E+000                  9.9999968333750218E+000                  3.4298505772835874E+001                 -7.9994033666866233E+000                  1.4849044502136453E+000                  1.4792627631443797E-001                  7.8130208036013418E-008                  2.5766438980775175E-001                  2.5180510301884512E-001                  1.8548777040866676E-001                  7.8130208036013418E-008                  2.5766438980775175E-001                  2.5092415647154809E-001                                        1                  1.4849049204273465E-001                                        2                  1.8713405383810358E-001                                        0                  2.5092415647154809E-001                                        3                  2.5180510301884512E-001                                        1                  2.5848578621494411E-001                                        0                  9.9998736907597419E-001                                        1                  9.9999774118684037E-001                                        0                  9.9999925691015101E-001                                        4                  9.9999934979628224E-001                                        0                  1.0000000000000000E+000                  3.8601848218767163E+000                 -3.1972179354646315E+001                 -1.1439139835231284E+001                  3.8601848218767167E+000                  3.8601765508365227E+000                 -8.6004349363127131E-001                 -3.1972179354646315E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0204968272408257E+033                  3.4711054621546351E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.0410324016702276E-002                                        4                  1.0084752982900329E-001                                        3                  1.5746563492538296E-001                                        2                  2.2286289756595623E-001                                        1                  2.5041099035201925E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051945E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1607549046280878E+000                  4.0455554677036920E+000                  1.2239210854601670E+000                  2.9902253188580019E+000                  0.0000000000000000E+000                  1.6073709181237639E+001                  7.5235126859112955E-001                  7.4599404950338446E+000                  1.3400378576243666E+000                  5.0001614008261352E-001                  4.0612199062543786E+000                  7.0752547885642431E-006                  9.7991730981000313E-001                  3.4468821368535988E-003                  9.3805276443809284E-003                  3.4468833607860811E-003                  9.3805276451495445E-003                  5.2470952688755519E+000                  4.5524708072366931E+000                  5.9981350578367527E+000                  8.6496606671041194E+006                  6.9822133784580714E+001                                        0                                        4 
                                       2                                     1067                  5.6920997883030861E+002                  2.4030899869919438E+000                  9.9999942726494826E+000                  3.4298505661624922E+001                 -7.9947269540798773E+000                  1.3120648698135478E+000                  1.3027070026248452E-001                  7.8130229420155072E-008                  9.9999767875553125E-001                  9.9998783551567449E-001                  1.9454862545596596E-001                  7.8130229420155072E-008                  9.5725440643820825E-001                  9.4894234883111317E-001                                        1                  1.3120656212795193E-001                                        2                  1.7235030827223438E-001                                        4                  1.9537298411283222E-001                                        0                  9.1421559559798837E-001                                        4                  9.1894072887578204E-001                                        0                  9.2557919351931939E-001                                        4                  9.3171181948754755E-001                                        0                  9.4894234883111317E-001                                        4                  9.5851211597441532E-001                                        0                  1.0000000000000000E+000                  3.7353652762419065E+000                 -3.1726798918291262E+001                 -9.8999999999999986E+001                  3.7353652762419061E+000                  3.7353466139086846E+000                 -6.3146242656435170E-001                 -3.1726798918291262E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8578279223358011E+033                  3.3252737929901075E+033                  3.4440006337933582E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5371705278366846E+033                                        5                  3.3080620028751784E-002                                        4                  9.2677999332474698E-002                                        3                  1.4989734492196824E-001                                        2                  2.2605587546858619E-001                                        1                  2.5047930601380530E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309052025E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1614285641116151E+000                  4.0480200836768310E+000                  1.2238060744796815E+000                  2.9904552296080262E+000                  0.0000000000000000E+000                  1.6094807509856338E+001                  7.7010117221139873E-001                  7.4640726555338492E+000                  1.3400369031385435E+000                  5.0001517116784022E-001                  4.0611951586496655E+000                  1.1045242281435330E-005                  9.7993106294583399E-001                  3.4468801691253342E-003                  9.3805276431095479E-003                  3.4468833607860763E-003                  9.3805276451495341E-003                  5.2471003358891570E+000                  4.5524938394214747E+000                  6.0015301270334289E+000                  8.6483613842911478E+006                  6.9804946383890865E+001                                        0                                        4 
                                       3                                     1066                  7.7159574908108516E+002                  2.3061799739838875E+000                  9.9999921947679393E+000                  3.4298505571383615E+001                 -7.9885591882204068E+000                  1.1663624509838917E+000                  1.1604950237579179E-001                  7.8130243597073862E-008                  9.9999767882763702E-001                  9.9998786903459014E-001                  1.9454866588089545E-001                  7.8130243597073862E-008                  8.6305078924414325E-001                  8.5543583132894208E-001                                        1                  1.1663633613575619E-001                                        2                  1.5765607618562802E-001                                        4                  1.9537302470905379E-001                                        0                  8.5543583132894208E-001                                        4                  8.6672162349074910E-001                                        0                  8.9847413251698038E-001                                        4                  9.2342458348823675E-001                                        0                  9.4585692686234746E-001                                        4                  9.5463351519622552E-001                                        0                  1.0000000000000000E+000                  3.6409268038857001E+000                 -3.1490257041439612E+001                 -9.8999999999999986E+001                  3.6409268038856997E+000                  3.6408946775548059E+000                 -4.9001244230074137E-001                 -3.1490257041439612E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7332898956789030E+033                  3.6218600235763002E+033                  3.7177219062772600E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.8315797656532547E+033                                        5                  2.7758541279861767E-002                                        4                  8.6424134903913763E-002                                        3                  1.4398316515869339E-001                                        2                  2.2900490045684588E-001                                        1                  2.5055431370149495E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051878E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1620801063672541E+000                  4.0505370235276921E+000                  1.2237614598938336E+000                  2.9905443685384121E+000                  0.0000000000000000E+000                  1.6114858908927364E+001                  7.8695475256670111E-001                  7.4680038798557993E+000                  1.3400368807273495E+000                  5.0001438688514321E-001                  4.0611820174331124E+000                  1.3423256054569637E-005                  9.7994052426013922E-001                  3.4468777113695272E-003                  9.3805276414778965E-003                  3.4468833607860794E-003                  9.3805276451495376E-003                  5.2471026515100228E+000                  4.5525082323608883E+000                  6.0034666523200988E+000                  8.6429781043153554E+006                  6.9766922417925869E+001                                        0                                        4 
                                       4                                     1064                  9.3350436528170633E+002                  2.2092699609758308E+000                  9.9999905083295459E+000                  3.4298505498142461E+001                 -7.9822994801033564E+000                  1.0595376519226811E+000                  1.0516677405217288E-001                  7.8130253067972928E-008                  9.9999767888615887E-001                  9.9998789578762892E-001                  1.9537305765753823E-001                  7.8130253067972928E-008                  9.1660940679256098E-001                  9.0399460816382926E-001                                        1                  1.0595386576018581E-001                                        2                  1.4630997884944061E-001                                        4                  2.0857927243078209E-001                                        0                  2.3666143145157253E-001                                        4                  2.4490819228428493E-001                                        0                  8.8964667646877138E-001                                        4                  9.1894107479480103E-001                                        0                  9.5042396284789965E-001                                        4                  9.5851247678938434E-001                                        0                  1.0000000000000000E+000                  3.5666231239955244E+000                 -3.1279262690737923E+001                 -9.8999999999999986E+001                  3.5666231239955239E+000                  3.5665751204309983E+000                 -3.8991170156246407E-001                 -3.1279262690737923E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6351039036812469E+033                  3.9125519771344603E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.3726953707352130E-002                                        4                  8.1496379286616502E-002                                        3                  1.3924752833007892E-001                                        2                  2.3155240202143046E-001                                        1                  2.5063698893605996E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051518E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1626603368842305E+000                  4.0528573350453776E+000                  1.2237611546187241E+000                  2.9905449058474787E+000                  0.0000000000000000E+000                  1.6132541405828970E+001                  8.0180596692736728E-001                  7.4714732417475913E+000                  1.3400372808865499E+000                  5.0001375188267505E-001                  4.0611752196177138E+000                  1.4882802773381186E-005                  9.7994725291739182E-001                  3.4468750040254278E-003                  9.3805276396369611E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  5.2471036291419368E+000                  4.5525176707521835E+000                  6.0043942714756700E+000                  8.6396884246085100E+006                  6.9720418883514355E+001                                        0                                        3 
                                       5                                     1063                  1.1277947047224518E+003                  2.2884512070234559E+000                  9.9999884576369649E+000                  3.4298505409081926E+001                 -7.9765506469262055E+000                  9.7900562488408693E-001                  9.7500732123285985E-002                  7.8130269847137816E-008                  9.9999774146672105E-001                  9.9998791646270080E-001                  1.9537309772259262E-001                  7.8130269847137816E-008                  2.1931920247937078E-001                  2.0114826242094674E-001                                        1                  9.7900675488922478E-002                                        2                  1.3505764102044052E-001                                        4                  1.9702279261758693E-001                                        0                  2.0114826242094674E-001                                        4                  2.3170918407968985E-001                                        0                  2.3831180682597861E-001                                        4                  2.4573233905655240E-001                                        0                  9.1175940242435027E-001                                        4                  9.1660959476118997E-001                                        0                  1.0000000000000000E+000                  3.4833902768726466E+000                 -3.1001286065232886E+001                 -9.8999999999999986E+001                  3.4833902768726466E+000                  3.4833155000262974E+000                 -2.8066427711652142E-001                 -3.1001286065232886E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5244111059446445E+033                  3.9844801191529414E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.9399232869945573E-002                                        4                  7.5940422360997836E-002                                        3                  1.3381989268487224E-001                                        2                  1.3431806837241880E-001                                        3                  1.4376075586147527E-001                                        2                  1.4581110029395655E-001                                        3                  1.5017576779233291E-001                                        2                  2.3478993521604508E-001                                        1                  2.5081780921882080E-001                                        0                  1.0000000000000000E+000                  2.5013654309051554E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1634279918418065E+000                  4.0560255737041810E+000                  1.2238099640329752E+000                  2.9904471979584355E+000                  0.0000000000000000E+000                  1.6155551864908976E+001                  8.2110221067020639E-001                  7.4760001413701049E+000                  1.3400382709554657E+000                  5.0001298346951117E-001                  4.0611716396498130E+000                  1.6085713269532721E-005                  9.7995426845522959E-001                  3.4468704287890155E-003                  9.3805276364272074E-003                  3.4468833607860828E-003                  9.3805276451495532E-003                  5.2471038550977873E+000                  4.5525266848104744E+000                  6.0046223690914697E+000                  8.6376133683810253E+006                  6.9643157385979478E+001                                        0                                        3 
                                       6                                     1060                  1.3609431120513464E+003                  2.3676324530710806E+000                  9.9999859520751393E+000                  3.4298505300266619E+001                 -7.9687273294335785E+000                  8.9276342030931211E-001                  8.8442727846190436E-002                  7.8130290125338687E-008                  9.9999774155156596E-001                  9.9998781986881669E-001                  1.9702284198293635E-001                  7.8130290125338687E-008                  9.2767857919875840E-001                  9.0399502004735111E-001                                        1                  8.9276467445841862E-002                                        2                  1.2392260597124673E-001                                        4                  1.9867253729127252E-001                                        0                  2.0692765694552495E-001                                        4                  2.1518820191936053E-001                                        0                  8.7720891697116987E-001                                        4                  8.9266469029153672E-001                                        0                  9.0399502004735111E-001                                        4                  9.2972234998428227E-001                                        0                  1.0000000000000000E+000                  3.3900379089900392E+000                 -3.0639653365478626E+001                 -9.8999999999999986E+001                  3.3900379089900388E+000                  3.3899154825825191E+000                 -1.5993250833090020E-001                 -3.0639653365478626E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000182256848615E+033                  4.0656914053176578E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.4795365898026793E-002                                        4                  6.9696657718761282E-002                                        3                  1.6448724868024028E-001                                        2                  2.3885426165880633E-001                                        1                  2.5315673021344237E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051758E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1644316386779821E+000                  4.0602906731027222E+000                  1.2239352200598947E+000                  2.9901965770892902E+000                  0.0000000000000000E+000                  1.6185068429070899E+001                  8.4580219681235891E-001                  7.4818292631645793E+000                  1.3400400353002708E+000                  5.0001206340422588E-001                  4.0611726699873509E+000                  1.6881499861878868E-005                  9.7996137909451031E-001                  3.4468624707366699E-003                  9.3805276306154779E-003                  3.4468833607860789E-003                  9.3805276451495410E-003                  5.2471031471210736E+000                  4.5525349918803286E+000                  6.0036703214289409E+000                  8.6406385499716047E+006                  6.9522600416450601E+001                                        0                                        3 
                                       7                                     1061                  1.6407212008460197E+003                  2.4468136991187053E+000                  9.9999828718228638E+000                  3.4298505166492752E+001                 -7.9582274119443994E+000                  7.9191548144236590E-001                  7.8096181424941902E-002                  7.8130316222909380E-008                  9.9999774165587096E-001                  9.9998782068514735E-001                  1.9867259848753313E-001                  7.8130316222909380E-008                  9.3171288171785849E-001                  9.1894177654596920E-001                                        1                  7.9191683785155342E-002                                        2                  1.1136585832100676E-001                                        4                  2.0857943171275939E-001                                        0                  2.1931932498721365E-001                                        4                  2.3418579168784209E-001                                        0                  8.8377928022012975E-001                                        4                  8.9847497016091393E-001                                        0                  9.1894177654596920E-001                                        4                  9.6092737339088530E-001                                        0                  1.0000000000000000E+000                  3.2827227557754899E+000                 -3.0175211468697356E+001                 -9.8999999999999986E+001                  3.2827227557754899E+000                  3.2825087723215023E+000                 -2.4788349507889024E-002                 -3.0175211468697356E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2557481979594336E+033                  4.1830494688905289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  9.8777328709726241E-003                                        4                  6.2457353390279760E-002                                        3                  1.9031105480488539E-001                                        2                  2.4388284797524334E-001                                        1                  2.5683612679468476E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051927E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1657316819553651E+000                  4.0659561577128098E+000                  1.2241678758101715E+000                  2.9897311318148714E+000                  0.0000000000000000E+000                  1.6222527899640177E+001                  8.7708142301051728E-001                  7.4892536193878927E+000                  1.3400427339399457E+000                  5.0001097923604698E-001                  4.0611795749616100E+000                  1.7129565665120384E-005                  9.7996837781171597E-001                  3.4468479215005597E-003                  9.3805276194322759E-003                  3.4468833607860802E-003                  9.3805276451495515E-003                  5.2471013652912619E+000                  4.5525422795856842E+000                  6.0009968872515245E+000                  8.6423306104836725E+006                  6.9344263696157114E+001                                        0                                        3 
                                       8                                     1057                  1.9764549073996277E+003                  2.5259949451663304E+000                  9.9999790551979615E+000                  3.4298505000738523E+001                 -7.9443154655261008E+000                  6.6505209127454956E-001                  6.5191124994008157E-002                  7.8130341278191856E-008                  9.9999774178511169E-001                  9.9998782169663314E-001                  9.2953958106066645E-002                  7.8130341278191856E-008                  2.0032319247103478E-001                  1.1761947790099472E-001                                        1                  6.6505348421590671E-002                                        2                  9.4463759663590441E-002                                        0                  1.1761947790099472E-001                                        4                  2.2427635361642528E-001                                        0                  9.0399564352291717E-001                                        4                  9.1176025970236108E-001                                        0                  9.3737562938177432E-001                                        4                  9.4425169570719969E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.1509123587764627E+000                 -2.9586818567665311E+001                 -9.8999999999999986E+001                  3.1509123587764627E+000                  3.1504993349737407E+000                  1.2889663287843722E-001                 -2.9586818567665311E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0731249713830282E+033                  4.3200497820323713E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.4231049081120489E-003                                        4                  5.3299444600555988E-002                                        3                  2.0108860901267608E-001                                        2                  2.4998154519184254E-001                                        1                  2.6150377536741204E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051510E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1674060767548191E+000                  4.0733971243143410E+000                  1.2245395695120294E+000                  2.9889875786569267E+000                  0.0000000000000000E+000                  1.6269721749810476E+001                  9.1645655388655378E-001                  7.4986048366696085E+000                  1.3400464101859180E+000                  5.0000974405303711E-001                  4.0611929681987968E+000                  1.6743091662862659E-005                  9.7997501109845175E-001                  3.4468187236235447E-003                  9.3805275954712379E-003                  3.4468833607860763E-003                  9.3805276451495376E-003                  5.2470984907251284E+000                  4.5525481710985893E+000                  5.9960635352209160E+000                  8.6357923424950168E+006                  6.9092322354367397E+001                                        0                                        4 
                                       9                                     1065                  2.3793353552639574E+003                  2.6051761912139551E+000                  9.9999742788375912E+000                  3.4298504793303344E+001                 -7.9260791049563881E+000                  5.1000039974212141E-001                  5.0172136238592825E-002                  7.8130380172769655E-008                  9.9999774195261804E-001                  9.9998782300760081E-001                  2.0114854762576653E-001                  1.2076523450708099E-001                  7.2301622087463088E-002                  7.8130380172769655E-008                                        1                  5.1000171152580653E-002                                        2                  7.3738639593737706E-002                                        0                  1.2076523450708099E-001                                        4                  2.0197380709867524E-001                                        0                  2.1436228826309817E-001                                        4                  2.3005798717903578E-001                                        0                  9.3737607710730542E-001                                        4                  9.4425214671699631E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.9826484249338554E+000                 -2.8855932463310996E+001                 -9.8999999999999986E+001                  2.9826484249338550E+000                  2.9817254090357901E+000                  3.0961186881912944E-001                 -2.8855932463310996E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1191040822731525E+032                  4.4750163222063887E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        4                  4.0207541672760132E-002                                        3                  2.0971956246076864E-001                                        2                  2.5015337004907029E-001                                        1                  2.6737796138570635E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.5013654309051643E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1695543369914487E+000                  4.0830539519660958E+000                  1.2250714628646480E+000                  2.9879235845165102E+000                  0.0000000000000000E+000                  1.6328767588936810E+001                  9.6581907152001534E-001                  7.5102076168574641E+000                  1.3400505190059444E+000                  5.0000851449116324E-001                  4.0612104271445357E+000                  1.5861119590843761E-005                  9.7998061341761611E-001                  3.4467520313579509E-003                  9.3805275359318714E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  5.2470947507305317E+000                  4.5525523874517511E+000                  5.9885520052120356E+000                  8.6320511610390227E+006                  6.8753002089981450E+001                                        0                                        4 
