                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230707"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1037                  5.5901699437494777E+001                  1.7474250108400471E+000                  1.9999972397938897E+001                  3.4599535306653095E+001                 -6.3064834978971280E+000                  4.6807679389083710E+000                  2.3299820233626492E-001                  7.8131180876554591E-008                  5.0035470772520330E-001                  3.5050000898690159E-001                  2.7219471960318725E-001                  7.8131180876554591E-008                  5.0630105270475589E-001                  3.2518486290159920E-001                                        1                  2.3403871994297093E-001                                        2                  2.7382047259700332E-001                                        0                  3.2518486290159920E-001                                        3                  3.5050000898690159E-001                                        1                  5.0630105270475589E-001                                        2                  5.1236299767862581E-001                                        0                  9.9817586821047644E-001                                        4                  9.9834783152588291E-001                                        0                  9.9999000416429140E-001                                        1                  1.0000000000000000E+000                  4.8216168433794904E+000                 -2.9135096298479212E+001                 -9.8999999999999986E+001                  4.8216168433794895E+000                  4.8216114043586007E+000                 -8.0649460660067299E-002                 -2.9135096298479212E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0540545564131052E+033                  1.0475431761701916E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  2.0039743492586713E-002                                        5                  9.7935417914838743E-002                                        4                  1.7656674103951428E-001                                        3                  2.4410950287838534E-001                                        2                  3.0405325929606691E-001                                        1                  3.3237064454580006E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340249E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2905539623488185E+000                  4.9294720992187395E+000                  1.4062812857762286E+000                  2.9265344520431018E+000                  0.0000000000000000E+000                  1.5959267606710714E+001                  4.8876049457097853E-001                  7.5138921780817913E+000                  1.3400389655119971E+000                  5.0001673217806220E-001                  4.0612398480156191E+000                  4.0649645699518140E-006                  9.7990773680069254E-001                  3.4468830000934426E-003                  9.3805276448232847E-003                  3.4468833607860794E-003                  9.3805276451495445E-003                  9.4674674696917283E+000                  1.0131515242496461E+001                  4.4917377757400132E+000                  1.6370134281080384E+007                  5.1928134520568825E+001                                        0                                        3 
                                       2                                     1032                  1.0062305898749061E+002                  1.6505149978319908E+000                  1.9999950264431227E+001                  3.4599534826029156E+001                 -6.3054647524517007E+000                  4.5737985739356590E+000                  2.2808321566047468E-001                  7.8131267153064441E-008                  5.0035526145681841E-001                  3.5050039687759799E-001                  2.7869128573879287E-001                  7.8131267153064441E-008                  5.0035526145681841E-001                  3.2454960229921581E-001                                        1                  2.2869049739938102E-001                                        2                  2.6894193364489616E-001                                        0                  3.2454960229921581E-001                                        3                  3.5050039687759799E-001                                        1                  5.0706791468400314E-001                                        0                  8.9587315477907281E-001                                        4                  9.2004859451961929E-001                                        0                  9.4084944077553856E-001                                        4                  9.5229108764683956E-001                                        0                  1.0000000000000000E+000                  4.7480544115218102E+000                 -2.9045637622243074E+001                 -9.8999999999999986E+001                  4.7480544115218102E+000                  4.7480448658121901E+000                  9.0073546394383933E-002                 -2.9045637622243074E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8260633438220030E+033                  1.0285352965766344E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.5393367289499145E-002                                        5                  9.1768937438044207E-002                                        4                  1.7083612001177553E-001                                        3                  2.3915448177771637E-001                                        2                  3.0461779995729521E-001                                        1                  3.3288968110740119E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340036E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2907831904711378E+000                  4.9300324451019168E+000                  1.4061030024731795E+000                  2.9268905380252588E+000                  0.0000000000000000E+000                  1.5965603097065619E+001                  4.9389537473827944E-001                  7.5153407797530889E+000                  1.3400379311095088E+000                  5.0001624278906254E-001                  4.0612222752058615E+000                  6.6852605012492521E-006                  9.7991591364140207E-001                  3.4468824888359648E-003                  9.3805276443564411E-003                  3.4468833607860781E-003                  9.3805276451495341E-003                  9.4674660807886770E+000                  1.0131553055671320E+001                  4.4947200351062948E+000                  1.6372783610366734E+007                  5.1957015092437878E+001                                        0                                        3 
                                       3                                     1027                  1.3640014662748729E+002                  1.5536049848239344E+000                  1.9999932497005261E+001                  3.4599534440213269E+001                 -6.3039804704035420E+000                  4.4725256392577561E+000                  2.2316708758278689E-001                  7.8131338050913902E-008                  4.9494365412663505E-001                  3.5050070825314256E-001                  2.8031386882275811E-001                  7.8131338050913902E-008                  4.9964599926285280E-001                  3.2457588692953976E-001                                        1                  2.2362703673762199E-001                                        2                  2.6405719817782886E-001                                        4                  2.8193436508540387E-001                                        0                  3.2457588692953976E-001                                        3                  3.5050070825314256E-001                                        1                  4.9964599926285280E-001                                        0                  9.0732719895761593E-001                                        4                  9.4766812315881144E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6949157367193575E+000                 -2.8958111320420461E+001                 -1.1138109839567303E+001                  4.6949157367193575E+000                  4.6949021157845259E+000                  1.9133153006261922E-001                 -2.8958111320420461E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6580776656922064E+033                  1.0144761503040649E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.2243396701756996E-002                                        5                  8.7319891450545112E-002                                        4                  1.6661357794750908E-001                                        3                  2.3547037692781031E-001                                        2                  3.0516686086930500E-001                                        1                  3.3342100767301502E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340213E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2910059486375305E+000                  4.9306207805148059E+000                  1.4059516538468386E+000                  2.9271928494620569E+000                  0.0000000000000000E+000                  1.5971802070996690E+001                  4.9891477364746495E-001                  7.5167597681353016E+000                  1.3400373473224254E+000                  5.0001586398863129E-001                  4.0612106653952953E+000                  8.4719135486990340E-006                  9.7992175965710915E-001                  3.4468819306012056E-003                  9.3805276438419516E-003                  3.4468833607860781E-003                  9.3805276451495341E-003                  9.4674630859594266E+000                  1.0131578973028658E+001                  4.4973046802949117E+000                  1.6376975952740692E+007                  5.1979862392082964E+001                                        0                                        3 
                                       4                                     1026                  1.6502181673948462E+002                  1.4566949718158779E+000                  1.9999918232602575E+001                  3.4599534130464548E+001                 -6.3024413812955480E+000                  4.3891573351596262E+000                  2.1907018897357686E-001                  7.8131391207236499E-008                  4.9494400713185671E-001                  3.5050095823832544E-001                  2.8031406874906917E-001                  7.8131391207236499E-008                  4.9494400713185671E-001                  3.2464937121453380E-001                                        1                  2.1945876398657996E-001                                        2                  2.6079695724826263E-001                                        4                  2.8193456616749030E-001                                        0                  3.2464937121453380E-001                                        3                  3.5050095823832544E-001                                        1                  5.0035606282479450E-001                                        0                  9.4262902068585941E-001                                        4                  9.5229261283432343E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6554533158326521E+000                 -2.8879662334905817E+001                 -9.8999999999999986E+001                  4.6554533158326521E+000                  4.6554358440092392E+000                  2.5999850028548960E-001                 -2.8879662334905817E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5343320295976465E+033                  1.0038019563745540E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.0046853003784799E-002                                        5                  8.4022384235547559E-002                                        4                  1.6344422907584163E-001                                        3                  2.3269466829090985E-001                                        2                  3.0565598007741523E-001                                        1                  3.3390348211799559E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341339947E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2912051491285048E+000                  4.9311721635965862E+000                  1.4058289444057805E+000                  2.9274379585954486E+000                  0.0000000000000000E+000                  1.5977360691317228E+001                  5.0341300181844151E-001                  7.5180330124560664E+000                  1.3400370145634941E+000                  5.0001556811935299E-001                  4.0612027291329946E+000                  9.7301844127346133E-006                  9.7992605132361477E-001                  3.4468813848689919E-003                  9.3805276433347757E-003                  3.4468833607860824E-003                  9.3805276451495480E-003                  9.4674596721655337E+000                  1.0131597388651265E+001                  4.4994327465447848E+000                  1.6381266246346192E+007                  5.1997280985905043E+001                                        0                                        3 
                                       5                                     1026                  1.8915763257437013E+002                  1.3826619833536189E+000                  1.9999906164118606E+001                  3.4599533868399597E+001                 -6.3010092654059298E+000                  4.3236783814273165E+000                  2.1497360731501372E-001                  7.8131439263799257E-008                  4.9494430579444876E-001                  3.5133750029620775E-001                  2.8031423789815652E-001                  7.8131439263799257E-008                  4.9494430579444876E-001                  3.2475440994998933E-001                                        1                  2.1618493336655414E-001                                        2                  2.5753408767913682E-001                                        4                  2.8193473629442956E-001                                        0                  3.2475440994998933E-001                                        3                  3.5133750029620775E-001                                        1                  5.0035636475316725E-001                                        0                  9.2468086988040710E-001                                        4                  9.3520554233705899E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6239475034977691E+000                 -2.8808332061357078E+001                 -9.8999999999999986E+001                  4.6239475034977691E+000                  4.6239263152695056E+000                  3.1224724112390151E-001                 -2.8808332061357078E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4584621193096406E+033                  9.9519187075190455E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  8.3896385953562275E-003                                        5                  8.1384603733760608E-002                                        4                  1.6089298626840898E-001                                        3                  2.3042932165675598E-001                                        2                  3.0611451305978804E-001                                        1                  3.3434384020519459E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340160E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2913862139721299E+000                  4.9316891856349141E+000                  1.4057253257376938E+000                  2.9276449338666719E+000                  0.0000000000000000E+000                  1.5982417562503315E+001                  5.0750325896754056E-001                  7.5191919223103252E+000                  1.3400368181703666E+000                  5.0001532222913492E-001                  4.0611968697267153E+000                  1.0686636937982033E-005                  9.7992943948074118E-001                  3.4468808490975239E-003                  9.3805276428330746E-003                  3.4468833607860781E-003                  9.3805276451495428E-003                  9.4674561563247597E+000                  1.0131611477648008E+001                  4.5012528116125372E+000                  1.6385804155296754E+007                  5.2011224343644571E+001                                        0                                        3 
                                       6                                     1028                  2.1812061157623276E+002                  1.4618432294012438E+000                  1.9999891637294670E+001                  3.4599533552952025E+001                 -6.2996725564135767E+000                  4.2685914689812572E+000                  2.1333539728569756E-001                  7.8131495203665203E-008                  4.9494466529483677E-001                  3.5094361475388880E-001                  2.8193494107635209E-001                  7.8131495203665203E-008                  4.9494466529483677E-001                  3.2471463483611152E-001                                        1                  2.1343072984562722E-001                                        2                  2.5426884470595551E-001                                        4                  2.8355544064966620E-001                                        0                  3.2471463483611152E-001                                        3                  3.5094361475388880E-001                                        1                  5.0035672818457777E-001                                        0                  8.9587578091719233E-001                                        4                  9.2690393699955198E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5889865089909119E+000                 -2.8716423569556298E+001                 -9.8999999999999986E+001                  4.5889865089909119E+000                  4.5889603024648693E+000                  3.6959854882965426E-001                 -2.8716423569556298E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3051491214432926E+033                  9.8539794040365661E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  6.6488881996278303E-003                                        5                  7.8465945122675448E-002                                        4                  1.5802893532492562E-001                                        3                  2.2788688441999302E-001                                        2                  3.0668745301339584E-001                                        1                  3.3491786577877591E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340044E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2916201994717449E+000                  4.9323760744252763E+000                  1.4056007991336446E+000                  2.9278936716272019E+000                  0.0000000000000000E+000                  1.5988936413784421E+001                  5.1277265631930313E-001                  7.5206869520596795E+000                  1.3400366904326668E+000                  5.0001503169901718E-001                  4.0611909046706458E+000                  1.1700561013147172E-005                  9.7993321038368297E-001                  3.4468800930725560E-003                  9.3805276421181812E-003                  3.4468833607860785E-003                  9.3805276451495445E-003                  9.4674511505403771E+000                  1.0131626606980092E+001                  4.5034685140802386E+000                  1.6392542579418201E+007                  5.2027004555053928E+001                                        0                                        3 
                                       7                                     1027                  2.5287618637846791E+002                  1.5410244754488684E+000                  1.9999874133962685E+001                  3.4599533172869776E+001                 -6.2979037453179938E+000                  4.2041528085069197E+000                  2.1005927161683527E-001                  7.8131562460149524E-008                  4.9494509845660062E-001                  3.5046539151962242E-001                  2.8193518781794680E-001                  7.8131562460149524E-008                  4.9494509845660062E-001                  3.2476137113080755E-001                                        1                  2.1020896333380715E-001                                        2                  2.5100143303011713E-001                                        4                  2.8355568880947696E-001                                        0                  3.2476137113080755E-001                                        3                  3.5046539151962242E-001                                        1                  5.0035716608282799E-001                                        0                  8.7589953996666425E-001                                        4                  8.8969123616848622E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5504734854969149E+000                 -2.8598542626934204E+001                 -9.8999999999999986E+001                  4.5504734854969149E+000                  4.5504403600907599E+000                  4.3283382351860317E-001                 -2.8598542626934204E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2205327367074095E+033                  9.7446843128600454E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.8961935223691385E-003                                        5                  7.5261284305165668E-002                                        4                  1.5484059766628006E-001                                        3                  2.2502251468756024E-001                                        2                  3.0742984729697520E-001                                        1                  3.3565945780934164E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341339805E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2919212156165001E+000                  4.9332823424694245E+000                  1.4054519008662090E+000                  2.9281910880798225E+000                  0.0000000000000000E+000                  1.5997304357050893E+001                  5.1953204097098760E-001                  7.5226075012287321E+000                  1.3400366734992863E+000                  5.0001468852442610E-001                  4.0611850890761971E+000                  1.2749034624797076E-005                  9.7993736619865579E-001                  3.4468790135120642E-003                  9.3805276410845011E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  9.4674441703192489E+000                  1.0131642595481582E+001                  4.5061554340288179E+000                  1.6402639066672215E+007                  5.2044606657226304E+001                                        0                                        3 
                                       8                                     1023                  2.9458287614115005E+002                  1.6202057214964933E+000                  1.9999853017195839E+001                  3.4599532714321882E+001                 -6.2955782967354059E+000                  4.1300265778309644E+000                  2.0514677369343576E-001                  7.8131647933554456E-008                  4.9494562104245565E-001                  3.5024949932406624E-001                  2.8193548549811914E-001                  7.8131647933554456E-008                  4.9494562104245565E-001                  3.2484285252323669E-001                                        1                  2.0650284650992054E-001                                        2                  2.4773206300318856E-001                                        4                  2.8355598820064892E-001                                        0                  3.2484285252323669E-001                                        1                  5.0035769438299282E-001                                        0                  8.5314830614198067E-001                                        4                  8.8607130097204023E-001                                        0                  9.1262338552517608E-001                                        4                  9.5229571806464841E-001                                        0                  1.0000000000000000E+000                  4.5082989024338964E+000                 -2.8448143292563611E+001                 -1.1138109839567303E+001                  4.5082989024338964E+000                  4.5082559997608884E+000                  5.0297749128308789E-001                 -2.8448143292563611E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0497402914512451E+033                  9.6218819469247348E+033                  1.0605355909865105E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1119222557232938E+034                                        6                  3.1801920645784959E-003                                        5                  7.1757810899108612E-002                                        4                  1.5132451105311381E-001                                        3                  2.2181880567607537E-001                                        2                  3.0836070909143548E-001                                        1                  3.3660044805174888E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341340382E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2923065839422057E+000                  4.9344678193064428E+000                  1.4052739026333068E+000                  2.9285466259977335E+000                  0.0000000000000000E+000                  1.6007992136374263E+001                  5.2815700709730040E-001                  7.5250630845430955E+000                  1.3400368230598514E+000                  5.0001428305758899E-001                  4.0611797753192622E+000                  1.3798988879453060E-005                  9.7994189864774395E-001                  3.4468774497100479E-003                  9.3805276395630549E-003                  3.4468833607860781E-003                  9.3805276451495341E-003                  9.4674346019481330E+000                  1.0131659175645009E+001                  4.5094132647478711E+000                  1.6418266776702870E+007                  5.2064126244275144E+001                                        0                                        3 
                                       9                                     1028                  3.4463090385636872E+002                  1.6993869675441182E+000                  1.9999827499495520E+001                  3.4599532160207637E+001                 -6.2925454348214602E+000                  4.0464655691870384E+000                  2.0187365835654941E-001                  7.8131744461642683E-008                  4.8949625931409252E-001                  3.4997591274151213E-001                  2.8193584521848036E-001                  7.8131744461642683E-008                  5.0035833278164998E-001                  3.2494682575465916E-001                                        1                  2.0232502351778320E-001                                        2                  2.4446095102552828E-001                                        4                  2.8355634998860307E-001                                        0                  3.2494682575465916E-001                                        3                  3.4972077520524048E-001                                        1                  4.9426426986347050E-001                                        3                  5.0628972296800301E-001                                        0                  8.7937712601926288E-001                                        4                  9.0175405130658415E-001                                        0                  1.0000000000000000E+000                  4.4622225398657998E+000                 -2.8257662852990752E+001                 -9.8999999999999986E+001                  4.4622225398657998E+000                  4.4621654116857288E+000                  5.8126005377266576E-001                 -2.8257662852990752E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8946871366858893E+033                  9.4843352459785385E+033                  9.9659583833804319E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1248268977607398E+034                                        6                  1.6058695662046266E-003                                        5                  6.7950734859736073E-002                                        4                  1.4742853608809034E-001                                        3                  2.1823775967399528E-001                                        2                  3.0954701203209734E-001                                        1                  3.3781723558254129E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.1064306341339867E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2927993450489694E+000                  4.9360078284997844E+000                  1.4050583850164495E+000                  2.9289771071171997E+000                  0.0000000000000000E+000                  1.6021552562689592E+001                  5.3908954749643445E-001                  7.5281819002689483E+000                  1.3400372109010983E+000                  5.0001380385075667E-001                  4.0611754339323927E+000                  1.4804834441567729E-005                  9.7994678519607092E-001                  3.4468751452498229E-003                  9.3805276372751923E-003                  3.4468833607860824E-003                  9.3805276451495515E-003                  9.4674216716499195E+000                  1.0131675970131269E+001                  4.5134035185000245E+000                  1.6447550984277235E+007                  5.2086201281798388E+001                                        0                                        3 
