                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20231026"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1021                  1.6411248409030472E+002                  2.2151416192329085E+000                  1.2999999620493844E+001                  3.4412449249989244E+001                 -8.6359227933906748E+000                  3.5613826177941643E+000                  2.7265945392937846E-001                  7.8142480883321857E-008                  9.9999998985323846E-001                  9.9999995985379231E-001                  1.0000000000000000E+000                  7.8142480883321857E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  2.7395251705852547E-001                                        2                  3.7541149863954465E-001                                        0                  9.9997985925611188E-001                                        4                  9.9998046731195422E-001                                        0                  9.9999212295740714E-001                                        4                  9.9999317706187829E-001                                        0                  9.9999627876565400E-001                                        4                  9.9999695372413111E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6438581393575538E+000                 -2.9853897122093052E+001                 -9.8999999999999986E+001                  4.6438581393575538E+000                  2.8130505492978521E+000                  4.6373985859289801E+000                 -2.9853897122093052E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7591534300012830E+033                  1.0971346288584250E+034                  1.1771852837780725E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2991046035286938E+034                                        6                  1.4019201420664805E-002                                        5                  1.2923130045819656E-001                                        4                  2.5984188345694509E-001                                        3                  3.8872070666294128E-001                                        2                  4.5600991234569421E-001                                        3                  4.6833870402088246E-001                                        2                  5.7149819162561921E-001                                        1                  6.6130053636168296E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4575174002740781E+000                  4.1083061658129054E+000                  6.6177144322279313E-001                  4.2284680804861194E+000                  0.0000000000000000E+000                  1.6517874667818496E+001                  8.3071251677091873E-001                  7.5170055551996455E+000                  6.1693681105616482E-001                  8.4990829312949379E-001                  1.2970113896192073E+000                  6.9981543637199262E-001                  2.7991824541048849E-001                  5.3399079827769831E-004                  9.2183025173762922E-003                  3.4109370882230822E-003                  9.2827015894862124E-003                  9.0999198583950278E+000                  3.6397849601153616E+000                  4.4841909533484767E+001                  6.2692439827972539E+006                  8.5872603606701705E+002                                        0                                        5 
                                       2                                     1021                  3.6104746499867036E+002                  2.2943228652805332E+000                  1.2999999193438491E+001                  3.4412449235722491E+001                 -8.6638386954219122E+000                  4.9498046327249012E+000                  3.7848865876934051E-001                  7.8142482481014844E-008                  9.9999998954056779E-001                  9.9999995914134965E-001                  1.0000000000000000E+000                  7.8142482481014844E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  3.8075422614050802E-001                                        2                  4.7251142465492152E-001                                        0                  9.9999293616907048E-001                                        4                  9.9999362214998155E-001                                        0                  9.9999546813711560E-001                                        4                  9.9999584423836729E-001                                        0                  9.9999816461918456E-001                                        4                  9.9999842689626384E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6231624583542121E+000                 -3.0049632670285185E+001                 -1.1138109839567303E+001                  4.6231624583542121E+000                  2.8424182316841851E+000                  4.6159070352146419E+000                 -3.0049632670285185E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7074857921721341E+033                  1.0685665900500305E+034                  1.2256287551897558E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2788120284028340E+034                                        6                  1.2313644279965197E-002                                        5                  1.2676216501226314E-001                                        4                  2.5784224755959739E-001                                        3                  3.7871199485434959E-001                                        2                  5.6438927908999603E-001                                        1                  6.5547945572610378E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4548922479535999E+000                  4.1002638638882845E+000                  6.6300059690143875E-001                  4.2260097588620749E+000                  0.0000000000000000E+000                  1.6503071574358874E+001                  8.1884184464146148E-001                  7.5138563506138834E+000                  6.1693578285177075E-001                  8.4990861719412159E-001                  1.2970073902825896E+000                  6.9981591005170085E-001                  2.7992516248165600E-001                  5.8314848861749544E-004                  9.2205333083447798E-003                  3.4109370882230818E-003                  9.2827015894862055E-003                  9.0998282164006792E+000                  3.6398020316348592E+000                  4.4655886543804890E+001                  6.1917383500295850E+006                  8.5646355101245581E+002                                        0                                        4 
                                       3                                     1017                  5.9736944208870909E+002                  2.3735041113281583E+000                  1.2999998713474127E+001                  3.4412449219688192E+001                 -8.6922951161770285E+000                  5.5341239080605842E+000                  4.2367714672947221E-001                  7.8142483181162127E-008                  9.9999998907019250E-001                  9.9999995833523969E-001                  1.0000000000000000E+000                  7.8142483181162127E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.2570188121054375E-001                                        2                  5.1333934532964431E-001                                        0                  9.9998452998223586E-001                                        4                  9.9998487931973778E-001                                        0                  9.9999372419217381E-001                                        4                  9.9999430710547754E-001                                        0                  9.9999628339566093E-001                                        4                  9.9999687749516397E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6342379533227804E+000                 -3.0299838114265150E+001                 -1.1138109839567303E+001                  4.6342379533227813E+000                  2.9394420879866718E+000                  4.6253784233768851E+000                 -3.0299838114265150E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7638864983766520E+033                  1.0747477832787903E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  1.3119754135077308E-002                                        5                  1.2847483961511444E-001                                        4                  2.6002508136819602E-001                                        3                  3.8108691443584236E-001                                        2                  4.8674188059719176E-001                                        1                  5.1258661868193867E-001                                        2                  5.5532747452730924E-001                                        1                  6.4783575337613553E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4515425682633376E+000                  4.0901853030396200E+000                  6.6466067585763222E-001                  4.2226895849153889E+000                  0.0000000000000000E+000                  1.6484729315611528E+001                  8.0430550555346347E-001                  7.5098271630515612E+000                  6.1692947681648080E-001                  8.4991317322031246E-001                  1.2969871830217174E+000                  6.9982460567310034E-001                  2.7993676381988875E-001                  7.1584158050183914E-004                  9.2250874102312620E-003                  3.4109370882230801E-003                  9.2827015894862055E-003                  9.0997156250992592E+000                  3.6398199790476333E+000                  4.4405523166646255E+001                  6.0787480492040887E+006                  8.5322495881188422E+002                                        0                                        4 
                                       4                                     1014                  8.8095581459675554E+002                  2.4526853573757830E+000                  1.2999998183488891E+001                  3.4412449201982831E+001                 -8.7284215862977383E+000                  5.9591832179140427E+000                  4.5557887526732421E-001                  7.8142486310849447E-008                  9.9999998875899032E-001                  9.9999995727531099E-001                  1.0000000000000000E+000                  7.8142486310849447E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.5839877312311583E-001                                        2                  5.4188099406347545E-001                                        0                  9.9998752541729130E-001                                        4                  9.9998782323685165E-001                                        0                  9.9999467451700796E-001                                        4                  9.9999508646469215E-001                                        0                  9.9999649193326146E-001                                        4                  9.9999695961190938E-001                                        0                  9.9999982913838603E-001                                        1                  1.0000000000000000E+000                  4.5873766113840517E+000                 -3.0563512905365421E+001                 -9.8999999999999986E+001                  4.5873766113840517E+000                  2.9331153706915414E+000                  4.5776405793904518E+000                 -3.0563512905365421E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6159162931411325E+033                  1.0632802212816767E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  9.5049143755376701E-003                                        5                  1.2240905631494255E-001                                        4                  2.5429845394662975E-001                                        3                  3.7632985556953436E-001                                        2                  4.8217236974803274E-001                                        1                  5.4290143351574094E-001                                        2                  5.4638354267953460E-001                                        1                  6.3961108653795207E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4479558007168229E+000                  4.0795065739455199E+000                  6.6649484640361178E-001                  4.2190212261180688E+000                  0.0000000000000000E+000                  1.6465818192414474E+001                  7.8944943228693798E-001                  7.5055814533028622E+000                  6.1692895105751278E-001                  8.4991297073147687E-001                  1.2969845186661739E+000                  6.9982401973262920E-001                  2.7994471924221409E-001                  7.6531929334997938E-004                  9.2277587319849388E-003                  3.4109370882230805E-003                  9.2827015894862037E-003                  9.0995945335486308E+000                  3.6398383896316924E+000                  4.4130556849838193E+001                  5.9566238401538888E+006                  8.4954927981630021E+002                                        0                                        3 
                                       5                                     1010                  1.2212594616064114E+003                  2.5318666034234076E+000                  1.2999997601736487E+001                  3.4412449182548066E+001                 -8.7671284163474112E+000                  6.2434753445800757E+000                  4.7808028669518765E-001                  7.8142493533329730E-008                  9.9999998797430478E-001                  9.9999995606602443E-001                  1.0000000000000000E+000                  7.8142493533329730E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.8026742279907020E-001                                        2                  5.6188395217903120E-001                                        0                  9.9996920895229569E-001                                        4                  9.9997460506502123E-001                                        0                  9.9998693950188788E-001                                        4                  9.9998929443193629E-001                                        0                  9.9999319532207986E-001                                        4                  9.9999373318726936E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5178694824260575E+000                 -3.0818209828838711E+001                 -1.0660988584847640E+001                  4.5178694824260575E+000                  2.8819015034860156E+000                  4.5077096547216264E+000                 -3.0818209828838711E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3850128552565452E+033                  1.0443203379211120E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.8824808506911163E-003                                        5                  1.1331802647975329E-001                                        4                  2.4536284960611690E-001                                        3                  3.6856557293492781E-001                                        2                  4.7581047177595714E-001                                        1                  6.3177497147755557E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4444295542281678E+000                  4.0691595187830547E+000                  6.6837381179968935E-001                  4.2152632758911519E+000                  0.0000000000000000E+000                  1.6447880948707990E+001                  7.7546550908648826E-001                  7.5014789277576179E+000                  6.1693159078212667E-001                  8.4991016650259343E-001                  1.2969914684322830E+000                  6.9981837000933245E-001                  2.7995062743400712E-001                  7.6881939581536899E-004                  9.2293674146006199E-003                  3.4109370882230801E-003                  9.2827015894862037E-003                  9.0994708120043395E+000                  3.6398571130020425E+000                  4.3850747806203067E+001                  5.8442894212217340E+006                  8.4565602824969653E+002                                        0                                        3 
                                       6                                     1006                  1.6296238380179982E+003                  2.6110478494710327E+000                  1.2999996962113318E+001                  3.4412449161180000E+001                 -8.8051236620789588E+000                  6.3932360722268671E+000                  4.8910335475138794E-001                  7.8142494276860558E-008                  9.9999998750715002E-001                  9.9999995484184789E-001                  1.0000000000000000E+000                  7.8142494276860558E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.9178750509396763E-001                                        2                  5.7164611885380345E-001                                        0                  9.9998575962469138E-001                                        4                  9.9998694999550142E-001                                        0                  9.9999163734675744E-001                                        4                  9.9999239463858980E-001                                        0                  9.9999548117713477E-001                                        4                  9.9999649735551466E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4319390522404793E+000                 -3.1043997096024292E+001                 -9.8999999999999986E+001                  4.4319390522404793E+000                  2.7956702635015711E+000                  4.4217863420753361E+000                 -3.1043997096024292E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0916287897580332E+033                  1.0194464912017414E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  8.0948576414096197E-004                                        5                  1.0212294791282170E-001                                        4                  2.3401051021715835E-001                                        3                  3.5844841767233637E-001                                        2                  4.6732865406675844E-001                                        1                  5.6859057606268804E-001                                        0                  5.7046790833715733E-001                                        1                  6.2522335805607643E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4412360864142357E+000                  4.0600101780660145E+000                  6.7018607706903233E-001                  4.2116387239843993E+000                  0.0000000000000000E+000                  1.6432268224170056E+001                  7.6339507299141285E-001                  7.4978372883015281E+000                  6.1693744420252405E-001                  8.4990469930419354E-001                  1.2970081423564552E+000                  6.9980752663396695E-001                  2.7995471732183747E-001                  7.2708408876806768E-004                  9.2299327532352482E-003                  3.4109370882230835E-003                  9.2827015894862124E-003                  9.0993489843981479E+000                  3.6398762196397616E+000                  4.3582780044534253E+001                  5.7408465941123357E+006                  8.4171667526847625E+002                                        0                                        3 
                                       7                                     1004                  2.1196610897119026E+003                  2.6902290955186574E+000                  1.2999996252622223E+001                  3.4412449137477836E+001                 -8.8392821457366555E+000                  6.3949078722976678E+000                  4.9183511743929609E-001                  7.8142499287057728E-008                  9.9999998688335934E-001                  9.9999995367030781E-001                  1.0000000000000000E+000                  7.8142499287057728E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.9191613197640377E-001                                        2                  5.7164615005210784E-001                                        0                  9.9996379433399374E-001                                        4                  9.9996516689260329E-001                                        0                  9.9998834769959066E-001                                        4                  9.9998931223229703E-001                                        0                  9.9999509827889010E-001                                        4                  9.9999601688741280E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.3337716904599040E+000                 -3.1223663057505842E+001                 -9.8999999999999986E+001                  4.3337716904599040E+000                  2.6817368613386412E+000                  4.3239850504602071E+000                 -3.1223663057505842E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7500190276084646E+033                  9.8981862370652910E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  8.9515942832300854E-002                                        4                  2.2079387535298758E-001                                        3                  3.4647174940318792E-001                                        2                  4.5708051539099231E-001                                        1                  5.5992566274522360E-001                                        0                  5.7062643599419416E-001                                        1                  6.2050430155435055E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4386273645674388E+000                  4.0529142795195972E+000                  6.7185557148941866E-001                  4.2082997114414606E+000                  0.0000000000000000E+000                  1.6420163987239722E+001                  7.5415625456972712E-001                  7.4949310897417272E+000                  6.1694622761301998E-001                  8.4989678206938135E-001                  1.2970336446591753E+000                  6.9979189267014730E-001                  2.7995741712004057E-001                  6.4559864854766614E-004                  9.2295709638552589E-003                  3.4109370882230861E-003                  9.2827015894862176E-003                  9.0992322929951914E+000                  3.6398960846788055E+000                  4.3337776808980962E+001                  5.6719531758613782E+006                  8.3778249052768513E+002                                        0                                        3 
                                       8                                     1002                  2.7077057917445877E+003                  2.7694103415662821E+000                  1.2999995452992895E+001                  3.4412449110764392E+001                 -8.8665216279813581E+000                  6.2215273250651935E+000                  4.7808036571613172E-001                  7.8142502889867410E-008                  9.9999998689214209E-001                  9.9999995263940877E-001                  1.0000000000000000E+000                  7.8142502889867410E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.7857919239755237E-001                                        2                  5.6188404505171741E-001                                        0                  9.9999101841221505E-001                                        4                  9.9999296919070491E-001                                        0                  9.9999510289861948E-001                                        4                  9.9999650366285919E-001                                        0                  9.9999755055245032E-001                                        4                  9.9999800575552678E-001                                        0                  9.9999983663518366E-001                                        4                  1.0000000000000000E+000                  4.2443752345685954E+000                 -3.1357534364943366E+001                 -9.8999999999999986E+001                  4.2443752345685954E+000                  2.5781900295351634E+000                  4.2349057741426677E+000                 -3.1357534364943366E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4340666651904051E+033                  9.6172114659362499E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  7.8267282413393563E-002                                        4                  2.0857174580457113E-001                                        3                  3.3518646715629585E-001                                        2                  4.4730909450538853E-001                                        1                  5.5230517725543660E-001                                        0                  5.7069726601560822E-001                                        1                  6.1740299595297066E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4366496653451755E+000                  4.0482205886013203E+000                  6.7346412447480675E-001                  4.2050825787572457E+000                  0.0000000000000000E+000                  1.6411542215930446E+001                  7.4772681490646598E-001                  7.4927544061275286E+000                  6.1695491835431771E-001                  8.4988892483269918E-001                  1.2970588382092552E+000                  6.9977636426976153E-001                  2.7996037341091251E-001                  5.6651744730702562E-004                  9.2291719898021235E-003                  3.4109370882230796E-003                  9.2827015894862072E-003                  9.0991182978479905E+000                  3.6399174566395880E+000                  4.3103405115433873E+001                  5.6451211111318739E+006                  8.3349499515621733E+002                                        0                                        3 
                                       9                                     1001                  3.4133594341838102E+003                  2.8485915876139072E+000                  1.2999994535030281E+001                  3.4412449080097758E+001                 -8.8857665929302936E+000                  5.9195727710921098E+000                  4.5272428531849307E-001                  7.8142510909932366E-008                  9.9999998627184861E-001                  9.9999995170602884E-001                  1.0000000000000000E+000                  7.8142510909932366E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.5535194304436077E-001                                        2                  5.4188114614280081E-001                                        0                  9.9999053889662970E-001                                        4                  9.9999102794147299E-001                                        0                  9.9999498746505633E-001                                        4                  9.9999602486037420E-001                                        0                  9.9999697298832280E-001                                        4                  9.9999755314819927E-001                                        0                  9.9999961357442790E-001                                        4                  1.0000000000000000E+000                  4.1622260387849659E+000                 -3.1442150120561035E+001                 -9.8999999999999986E+001                  4.1622260387849659E+000                  2.4830174158701741E+000                  4.1530393087032680E+000                 -3.1442150120561035E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1407520318514413E+033                  9.3491570445513727E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  6.8193161089774204E-002                                        4                  1.9722708989753587E-001                                        3                  3.2443791447663173E-001                                        2                  4.3787783788604323E-001                                        1                  5.5042457138731005E-001                                        0                  5.7073852270431469E-001                                        1                  6.1584173405639575E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4354465667334315E+000                  4.0466823475759401E+000                  6.7510120118560257E-001                  4.2018083946690190E+000                  0.0000000000000000E+000                  1.6406662775084794E+001                  7.4431375981794434E-001                  7.4913636832354253E+000                  6.1696381386696586E-001                  8.4988084978487888E-001                  1.2970845702830824E+000                  6.9976039284630021E-001                  2.7996379416861994E-001                  4.8764845161124491E-004                  9.2287067872053076E-003                  3.4109370882230827E-003                  9.2827015894862090E-003                  9.0990051348869443E+000                  3.6399412989075022E+000                  4.2866256522962672E+001                  5.5993071143641546E+006                  8.2838144324504901E+002                                        0                                        4 
