                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20231026"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                              num_retries                                num_iters 
                                       1                                     1015                  9.7656250000000014E+001                  1.9897000433601879E+000                  1.5999999050091436E+001                  3.4502625867232844E+001                 -8.0120182388730878E+000                  4.7692123822187735E+000                  2.9701850365038168E-001                  7.8129302965147173E-008                  9.9999999276199947E-001                  9.9999996452546425E-001                  1.0000000000000000E+000                  7.8129302965147173E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  2.9807579158522007E-001                                        2                  3.3265164306362577E-001                                        0                  9.9997156902852902E-001                                        4                  9.9997273072464177E-001                                        0                  9.9998246807602909E-001                                        4                  9.9998373871090285E-001                                        0                  9.9998911577861360E-001                                        4                  9.9999033938521042E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5622214939672840E+000                 -2.8943952329428448E+001                 -9.8999999999999986E+001                  4.5622214939672840E+000                  2.5181923813615290E+000                  4.5582794202203294E+000                 -2.8943952329428448E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7645947748296210E+033                  1.3110146236848955E+034                  1.3418247016125337E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7066533898016254E+034                                        6                  1.9647403857668898E-003                                        5                  1.0811063659165655E-001                                        4                  2.4241518598402562E-001                                        3                  3.7421418958550595E-001                                        2                  4.2104238663278537E-001                                        3                  5.0350209687059699E-001                                        2                  6.0267379462022963E-001                                        1                  6.8760512315124889E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5004043863133489E+000                  4.3841234501082553E+000                  7.1390611329192555E-001                  4.2143753575914529E+000                  0.0000000000000000E+000                  1.6471685719039563E+001                  7.5355591928796195E-001                  7.5346162329932254E+000                  6.1695357802747142E-001                  8.4989503406231304E-001                  1.2970631920331845E+000                  6.9978968443366329E-001                  2.7990503347899448E-001                  1.9127209064431994E-004                  9.2150474599874705E-003                  3.4081922106587149E-003                  9.2752315369256776E-003                  1.1199960940511311E+001                  4.4797428938719026E+000                  4.1241507590411935E+001                  9.6424962584336195E+006                  7.9125854797079830E+002                                        0                                        5 
                                       2                                     1014                  2.1484375000000003E+002                  2.0688812894078126E+000                  1.5999997935544496E+001                  3.4502625836980236E+001                 -8.0217829254574138E+000                  5.7912046963917776E+000                  3.6093222501065458E-001                  7.8129308840766693E-008                  9.9999999276854723E-001                  9.9999996440117378E-001                  1.0000000000000000E+000                  7.8129308840766693E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  3.6195034022638439E-001                                        2                  3.9471209634310522E-001                                        0                  9.9996108017843344E-001                                        4                  9.9996417606023813E-001                                        0                  9.9998185564197994E-001                                        4                  9.9998319890337051E-001                                        0                  9.9999817446196049E-001                                        4                  9.9999848478057751E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5283486931795647E+000                 -2.8973044382537953E+001                 -1.0660988584847640E+001                  4.5283486931795647E+000                  2.4895484083447394E+000                  4.5243586506916795E+000                 -2.8973044382537953E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6168141126450496E+033                  1.3068515789673271E+034                  1.3418894476883516E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7031011042495093E+034                                        6                  6.7065351789114436E-004                                        5                  1.0360131317851305E-001                                        4                  2.3776914174602798E-001                                        3                  3.6403064748122410E-001                                        2                  4.2108345494607424E-001                                        3                  5.0229131278091854E-001                                        2                  6.0170230956796689E-001                                        1                  6.8682326968919616E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4999519418983329E+000                  4.3823560087689346E+000                  7.1392728145229811E-001                  4.2143329910181055E+000                  0.0000000000000000E+000                  1.6469322831965162E+001                  7.5160703961526243E-001                  7.5341423637361551E+000                  6.1695641945055280E-001                  8.4989229656926191E-001                  1.2970711454861150E+000                  6.9978422749888836E-001                  2.7990802345630433E-001                  1.7579276191511867E-004                  9.2145772465942154E-003                  3.4081922106587088E-003                  9.2752315369256690E-003                  1.1199917693905064E+001                  4.4797646850792940E+000                  4.1239477148432890E+001                  9.6163662152727935E+006                  7.9159359284462585E+002                                        0                                        4 
                                       3                                     1014                  3.5546875000000000E+002                  2.1480625354554377E+000                  1.5999996614330945E+001                  3.4502625801118000E+001                 -8.0270895163370373E+000                  6.1526815024908332E+000                  3.8253522890792241E-001                  7.8129313753941361E-008                  9.9999999277630947E-001                  9.9999996433200500E-001                  1.0000000000000000E+000                  7.8129313753941361E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  3.8454267527656683E-001                                        2                  4.1571063661048985E-001                                        0                  9.9996992415072472E-001                                        4                  9.9997166105405788E-001                                        0                  9.9998604293570748E-001                                        4                  9.9998726926412529E-001                                        0                  9.9999167291002422E-001                                        4                  9.9999236318094697E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4915700861362087E+000                 -2.8998610773760923E+001                 -9.8999999999999986E+001                  4.4915700861362087E+000                  2.4565532001838610E+000                  4.4875449698743921E+000                 -2.8998610773760923E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4528919785508006E+033                  1.2602238798105364E+034                  1.3419383832270926E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6999765472138335E+034                                        5                  9.8681957247680627E-002                                        4                  2.3261589127841381E-001                                        3                  3.5933632416435973E-001                                        2                  4.2111478869048924E-001                                        3                  5.0124248221926648E-001                                        2                  6.0085262796303029E-001                                        1                  6.8610980889093620E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4995764982549487E+000                  4.3808582186101228E+000                  7.1392927365966230E-001                  4.2143289707411364E+000                  0.0000000000000000E+000                  1.6467274988020300E+001                  7.4992814375253714E-001                  7.5337253790456531E+000                  6.1695966883683040E-001                  8.4988914970669005E-001                  1.2970802133792632E+000                  6.9977795550295929E-001                  2.7991163900242000E-001                  1.5902236861533900E-004                  9.2139898218371787E-003                  3.4081922106587144E-003                  9.2752315369256828E-003                  1.1199870149180272E+001                  4.4797904246662101E+000                  4.1239779493024315E+001                  9.5946168126131743E+006                  7.9192849860798140E+002                                        0                                        3 
                                       4                                     1013                  5.2421875000000000E+002                  2.2272437815030623E+000                  1.5999995045128133E+001                  3.4502625758524481E+001                 -8.0315647033054454E+000                  6.3190300334969018E+000                  3.9471216764827288E-001                  7.8129322005169920E-008                  9.9999999258566419E-001                  9.9999996427396276E-001                  1.0000000000000000E+000                  7.8129322005169920E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  3.9493949939821976E-001                                        2                  4.2458416849379993E-001                                        0                  9.9998142992105432E-001                                        4                  9.9998452739921040E-001                                        0                  9.9999511723930767E-001                                        4                  9.9999578305062453E-001                                        0                  9.9999742038750250E-001                                        4                  9.9999781692000689E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4671978929483354E+000                 -2.9022395196939740E+001                 -1.0962018580511621E+001                  4.4671978929483354E+000                  2.4436239453823263E+000                  4.4630647990519599E+000                 -2.9022395196939740E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3457188879489290E+033                  1.2510193657427635E+034                  1.3515177755210417E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6970691849565541E+034                                        5                  9.5472880036734459E-002                                        4                  2.2924684034884552E-001                                        3                  3.5629279688449939E-001                                        2                  4.2382067871230084E-001                                        3                  5.0028284946851420E-001                                        2                  6.0003502277984189E-001                                        1                  6.8545159886240226E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4992299514421568E+000                  4.3794306695820469E+000                  7.1390859277120600E-001                  4.2143702899245303E+000                  0.0000000000000000E+000                  1.6465384850503710E+001                  7.4838369054714693E-001                  7.5333371729074567E+000                  6.1696278930237092E-001                  8.4988602077953790E-001                  1.2970887415944949E+000                  6.9977170277280532E-001                  2.7991639445058991E-001                  1.4954993680707903E-004                  9.2134611482503175E-003                  3.4081922106587110E-003                  9.2752315369256672E-003                  1.1199816312421458E+001                  4.4798208565563948E+000                  4.1243151706837175E+001                  9.5742144136085939E+006                  7.9231990118645183E+002                                        0                                        3 
                                       5                                     1013                  7.2671875000000000E+002                  2.3064250275506870E+000                  1.5999993180346243E+001                  3.4502625707907931E+001                 -8.0357969843192212E+000                  6.4107878549106330E+000                  3.9773659395897887E-001                  7.8129331197827159E-008                  9.9999999259711725E-001                  9.9999996422946968E-001                  1.0000000000000000E+000                  7.8129331197827159E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.0067441171071194E-001                                        2                  4.3045672305475996E-001                                        0                  9.9996833022667897E-001                                        4                  9.9997294342741549E-001                                        0                  9.9998260481874812E-001                                        4                  9.9998330522029510E-001                                        0                  9.9999440793199323E-001                                        4                  9.9999756503566173E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4762959492199821E+000                 -2.9054806257540687E+001                 -1.0740169830895265E+001                  4.4762959492199821E+000                  2.4854377503826059E+000                  4.4718378136255357E+000                 -2.9054806257540687E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3961279031848081E+033                  1.2561631364721828E+034                  1.3701768171691546E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6931735770847699E+034                                        5                  9.6802753548336506E-002                                        4                  2.3083150056460222E-001                                        3                  3.5796280262140073E-001                                        2                  4.2963712004509619E-001                                        3                  4.9903463348667410E-001                                        2                  5.9893598850404861E-001                                        1                  6.8453913812793044E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4987815340048254E+000                  4.3776943535354382E+000                  7.1393726962256565E-001                  4.2143128856052616E+000                  0.0000000000000000E+000                  1.6462863692500889E+001                  7.4634095580521365E-001                  7.5328071408678916E+000                  6.1696504327741908E-001                  8.4988349450144784E-001                  1.2970944538245737E+000                  6.9976660700149085E-001                  2.7992302390541479E-001                  1.5941865761931432E-004                  9.2133128113710775E-003                  3.4081922106587105E-003                  9.2752315369256724E-003                  1.1199750235879728E+001                  4.4798566016931334E+000                  4.1239623437429557E+001                  9.5494268806736376E+006                  7.9262427491112351E+002                                        0                                        3 
                                       6                                     1011                  9.6971875000000000E+002                  2.3856062735983121E+000                  1.5999990969430208E+001                  3.4502625647896110E+001                 -8.0410340240088889E+000                  6.5127140175402847E+000                  4.0676100830792339E-001                  7.8129342220981374E-008                  9.9999999261069683E-001                  9.9999996415828418E-001                  1.0000000000000000E+000                  7.8129342220981374E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.0704485583670402E-001                                        2                  4.3629425583470283E-001                                        0                  9.9996027053365111E-001                                        4                  9.9996566936112385E-001                                        0                  9.9997086875644137E-001                                        4                  9.9998047357706732E-001                                        0                  9.9999173556218712E-001                                        4                  9.9999442448406684E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4778854587697117E+000                 -2.9095196617489329E+001                 -9.8999999999999986E+001                  4.4778854587697117E+000                  2.5179779368629505E+000                  4.4730961898535568E+000                 -2.9095196617489329E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4125583042927268E+033                  1.2583630589622132E+034                  1.3889250968737803E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6885669401745992E+034                                        5                  9.7115678895809104E-002                                        4                  2.3134804012612328E-001                                        3                  3.5861070961585167E-001                                        2                  4.3559988202068395E-001                                        3                  4.9757289635182850E-001                                        2                  5.9756689278767672E-001                                        1                  6.8339990319546373E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4982305345824871E+000                  4.3756345879245879E+000                  7.1400938566181538E-001                  4.2141685935149429E+000                  0.0000000000000000E+000                  1.6459773503933761E+001                  7.4385492996823188E-001                  7.5321459224550180E+000                  6.1696795877822586E-001                  8.4988031464905534E-001                  1.2971019903602270E+000                  6.9976020698926167E-001                  2.7993054486940872E-001                  1.6671558054161929E-004                  9.2131070491440759E-003                  3.4081922106587092E-003                  9.2752315369256603E-003                  1.1199670573010330E+001                  4.4798983711505409E+000                  4.1230085393501568E+001                  9.5203950667219106E+006                  7.9286377612763590E+002                                        0                                        3 
                                       7                                     1010                  1.2613187499999999E+003                  2.4647875196459368E+000                  1.5999988354415020E+001                  3.4502625576915648E+001                 -8.0473133038684814E+000                  6.6072571266868145E+000                  4.1273598713555198E-001                  7.8129354182014567E-008                  9.9999999262640094E-001                  9.9999996406066649E-001                  1.0000000000000000E+000                  7.8129354182014567E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.1295387098601322E-001                                        2                  4.4209636138353803E-001                                        0                  9.9998054064358166E-001                                        4                  9.9998208558611623E-001                                        0                  9.9998515164293611E-001                                        4                  9.9998699486203191E-001                                        0                  9.9998990723396664E-001                                        4                  9.9999078611543812E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4676049675241014E+000                 -2.9139343343693604E+001                 -1.1439139835231284E+001                  4.4676049675241014E+000                  2.5333161636199599E+000                  4.4625229749531234E+000                 -2.9139343343693604E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3730481046459052E+033                  1.2554851071007487E+034                  1.4076091019301067E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6837441866574779E+034                                        5                  9.5819690095958560E-002                                        4                  2.3010603133285878E-001                                        3                  3.5764158660570972E-001                                        2                  4.4155160138574373E-001                                        3                  4.9606363538363746E-001                                        2                  5.9611804522034118E-001                                        1                  6.8213374812637106E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4976213139812504E+000                  4.3733688614381068E+000                  7.1409496362105063E-001                  4.2139973666160104E+000                  0.0000000000000000E+000                  1.6456442204119178E+001                  7.4119132981159730E-001                  7.5314226958537720E+000                  6.1697179794426371E-001                  8.4987625952649903E-001                  1.2971121368411145E+000                  6.9975206980650817E-001                  2.7993886326825534E-001                  1.6801503225774895E-004                  9.2127434193116833E-003                  3.4081922106587101E-003                  9.2752315369256776E-003                  1.1199577213877118E+001                  4.4799470658824561E+000                  4.1218732075895424E+001                  9.4891217910376005E+006                  7.9310732310709693E+002                                        0                                        3 
                                       8                                     1010                  1.6112387500000000E+003                  2.5439687656935615E+000                  1.5999985266035914E+001                  3.4502625493086455E+001                 -8.0542381605209705E+000                  6.6715818976229198E+000                  4.1571093146119836E-001                  7.8129369180217628E-008                  9.9999999264494965E-001                  9.9999996395800661E-001                  1.0000000000000000E+000                  7.8129369180217628E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.1697425258166138E-001                                        2                  4.4786265829467659E-001                                        0                  9.9996332721401227E-001                                        4                  9.9996750939519696E-001                                        0                  9.9998215850348682E-001                                        4                  9.9998403381631207E-001                                        0                  9.9998955356497932E-001                                        4                  9.9999417725965667E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.4489881884718780E+000                 -2.9182242327627197E+001                 -9.8999999999999986E+001                  4.4489881884718780E+000                  2.5348707805374366E+000                  4.4436631012406345E+000                 -2.9182242327627197E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2951002347166406E+033                  1.2490418044172037E+034                  1.4262143448993986E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6793667013728811E+034                                        5                  9.3430328232249671E-002                                        4                  2.2765578547625542E-001                                        3                  3.5547376042642054E-001                                        2                  4.4748373344572945E-001                                        3                  4.9469294326572061E-001                                        2                  5.9474567146062485E-001                                        1                  6.8092678901861192E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4970084946651419E+000                  4.3710480265685234E+000                  7.1416018481847465E-001                  4.2138668403919679E+000                  0.0000000000000000E+000                  1.6453247151204053E+001                  7.3865214516997069E-001                  7.5307194025018580E+000                  6.1697652136582348E-001                  8.4987135195435581E-001                  1.2971247574411640E+000                  6.9974224097344673E-001                  2.7994811973713840E-001                  1.6442124733553263E-004                  9.2122020889146734E-003                  3.4081922106587101E-003                  9.2752315369256776E-003                  1.1199469966890140E+001                  4.4800038830466020E+000                  4.1210311403783564E+001                  9.4577836759907156E+006                  7.9342858597329189E+002                                        0                                        3 
                                       9                                     1010                  2.0311427500000000E+003                  2.6231500117411866E+000                  1.5999981619786405E+001                  3.4502625394114723E+001                 -8.0613036280858683E+000                  6.6930078491939362E+000                  4.1571102619791955E-001                  7.8129388114165538E-008                  9.9999999247051297E-001                  9.9999996386721124E-001                  1.0000000000000000E+000                  7.8129388114165538E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.1831347111780531E-001                                        2                  4.4786276035848255E-001                                        0                  9.9997518493642190E-001                                        4                  9.9997876369457284E-001                                        0                  9.9998071336469752E-001                                        4                  9.9998224459234697E-001                                        0                  9.9998590420642974E-001                                        4                  9.9998711028725318E-001                                        7                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.3813054812768204E+000                 -2.9189750801217087E+001                 -1.1439139835231284E+001                  4.3813054812768204E+000                  2.4543678615321767E+000                  4.3761362167109485E+000                 -2.9189750801217087E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9807979307871274E+033                  1.2203687145971908E+034                  1.4263047862891264E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6793189550833968E+034                                        5                  8.4519546566621598E-002                                        4                  2.1777640497194095E-001                                        3                  3.4612995615936659E-001                                        2                  4.4750687150165558E-001                                        3                  4.9468715137067021E-001                                        2                  5.9463152307451705E-001                                        1                  6.8070489301667814E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4967944332995815E+000                  4.3697623133184091E+000                  7.1394545092453765E-001                  4.2142962092081122E+000                  0.0000000000000000E+000                  1.6452706217453301E+001                  7.3823483985854399E-001                  7.5305952558974338E+000                  6.1698412932103652E-001                  8.4986388929839829E-001                  1.2971458286746826E+000                  6.9972738907443011E-001                  2.7995772771284394E-001                  1.3046163846659536E-004                  9.2106359064647262E-003                  3.4081922106587071E-003                  9.2752315369256690E-003                  1.1199360582620868E+001                  4.4800718050509545E+000                  4.1240991645678761E+001                  9.4404585748098698E+006                  7.9440915940700108E+002                                        0                                        3 
