                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.5214443735849765E-005   0.5254524786993906E+001   0.0000000000000000E+000                         0                         0                         1                         1
  0.1202828339488159E-005   0.7895257708016664E+001   0.0000000000000000E+000                         0                         0                         2                         2
  0.3267839692997614E-006   0.9336129455209536E+001   0.0000000000000000E+000                         0                         0                         3                         3
  0.1799125439898859E-006   0.1117243315880524E+002   0.0000000000000000E+000                         0                         0                         4                         4
  0.1344716632105440E-006   0.1320548354805066E+002   0.0000000000000000E+000                         0                         0                         5                         5
  0.9751144110734389E-007   0.1539880527051391E+002   0.0000000000000000E+000                         0                         0                         6                         6
  0.7038151526254655E-007   0.1750808109267657E+002   0.0000000000000000E+000                         0                         0                         7                         7
  0.5386866414055277E-007   0.1970889066715424E+002   0.0000000000000000E+000                         0                         0                         8                         8
  0.4218876816045102E-007   0.2178715489679751E+002   0.0000000000000000E+000                         0                         0                         9                         9
  0.4147706322985457E-007   0.2387881394467094E+002   0.0000000000000000E+000                         0                         0                        10                        10
  0.5124878262259115E-007   0.2596168257025718E+002   0.0000000000000000E+000                         0                         0                        11                        11
  0.7658161167310125E-007   0.2812049821665397E+002   0.0000000000000000E+000                         0                         0                        12                        12
  0.1404592150378471E-006   0.3031759571822829E+002   0.0000000000000000E+000                         0                         0                        13                        13
  0.3113605212420746E-006   0.3257716801485796E+002   0.0000000000000000E+000                         0                         0                        14                        14
  0.1203476210761549E-005   0.3482872598704671E+002   0.0000000000000000E+000                         0                         0                        15                        15
  0.1207668693780295E-001   0.3708623081158583E+002   0.0000000000000000E+000                         0                         0                        16                        16
  0.1190724366302955E-005   0.3931887228587767E+002   0.0000000000000000E+000                         0                         0                        17                        17
  0.3103694298502887E-006   0.4154271766743933E+002   0.0000000000000000E+000                         0                         0                        18                        18
  0.1590259758813029E-006   0.4378767089359756E+002   0.0000000000000000E+000                         0                         0                        19                        19
  0.1051621697413653E-006   0.4605603024605624E+002   0.0000000000000000E+000                         0                         0                        20                        20
  0.8039179236835995E-007   0.4835685694905206E+002   0.0000000000000000E+000                         0                         0                        21                        21
  0.6421971705305769E-007   0.5066216323163975E+002   0.0000000000000000E+000                         0                         0                        22                        22
  0.5379709174574156E-007   0.5296919140285306E+002   0.0000000000000000E+000                         0                         0                        23                        23
  0.4745095808178380E-007   0.5525315522552335E+002   0.0000000000000000E+000                         0                         0                        24                        24
  0.4576293298649846E-007   0.5753347627543592E+002   0.0000000000000000E+000                         0                         0                        25                        25
  0.4844950594450790E-007   0.5980564915523619E+002   0.0000000000000000E+000                         0                         0                        26                        26
  0.5599419170175742E-007   0.6209828890769094E+002   0.0000000000000000E+000                         0                         0                        27                        27
  0.6889443448665160E-007   0.6439927300911162E+002   0.0000000000000000E+000                         0                         0                        28                        28
  0.8962032802644967E-007   0.6671341912310280E+002   0.0000000000000000E+000                         0                         0                        29                        29
  0.1266297486662725E-006   0.6901958168289923E+002   0.0000000000000000E+000                         0                         0                        30                        30
  0.2054928023787699E-006   0.7132229683197312E+002   0.0000000000000000E+000                         0                         0                        31                        31
  0.4380192258378949E-006   0.7361117238543056E+002   0.0000000000000000E+000                         0                         0                        32                        32
  0.1755187961260570E-005   0.7590191685167954E+002   0.0000000000000000E+000                         0                         0                        33                        33
  0.2228554760633514E-002   0.7819676080333615E+002   0.0000000000000000E+000                         0                         0                        34                        34
  0.1639011599792628E-005   0.8050107546806996E+002   0.0000000000000000E+000                         0                         0                        35                        35
  0.4398234115211401E-006   0.8281073024305419E+002   0.0000000000000000E+000                         0                         0                        36                        36
  0.2061696393084150E-006   0.8512130170317471E+002   0.0000000000000000E+000                         0                         0                        37                        37
  0.1238638969536867E-006   0.8742902223496648E+002   0.0000000000000000E+000                         0                         0                        38                        38
  0.8601182367436166E-007   0.8973171877312943E+002   0.0000000000000000E+000                         0                         0                        39                        39
  0.6688924032982144E-007   0.9203465795182861E+002   0.0000000000000000E+000                         0                         0                        40                        40
  0.5650825434193677E-007   0.9433702841447990E+002   0.0000000000000000E+000                         0                         0                        41                        41
  0.5124372239129925E-007   0.9664546814932281E+002   0.0000000000000000E+000                         0                         0                        42                        42
  0.4897265681958858E-007   0.9895472981361540E+002   0.0000000000000000E+000                         0                         0                        43                        43
  0.4918539341199095E-007   0.1012672665523862E+003   0.0000000000000000E+000                         0                         0                        44                        44
  0.5187944039098592E-007   0.1035763023831038E+003   0.0000000000000000E+000                         0                         0                        45                        45
  0.5795798677465900E-007   0.1058865229578312E+003   0.0000000000000000E+000                         0                         0                        46                        46
  0.6912196218996819E-007   0.1081928550468307E+003   0.0000000000000000E+000                         0                         0                        47                        47
  0.8933891932239968E-007   0.1105015273325704E+003   0.0000000000000000E+000                         0                         0                        48                        48
  0.1281203334748282E-006   0.1128094564715046E+003   0.0000000000000000E+000                         0                         0                        49                        49
  0.2116646124682370E-006   0.1151209155528630E+003   0.0000000000000000E+000                         0                         0                        50                        50
  0.4454140507239638E-006   0.1174311690340178E+003   0.0000000000000000E+000                         0                         0                        51                        51
  0.1615988121403358E-005   0.1197425093353711E+003   0.0000000000000000E+000                         0                         0                        52                        52
  0.3404592684222169E-003   0.1220527497854237E+003   0.0000000000000000E+000                         0                         0                        53                        53
